BJD,JD,V,V_error
2457318.891746,2457318.89094,17.401,0.16974
2457323.754976,2457323.75417,17.281,0.16458
2457327.848036,2457327.84723,17.285,0.16477
2457329.840406,2457329.8396,17.2,0.16048
2457332.817746,2457332.81694,17.07,0.15308
2457355.743036,2457355.74223,17.373,0.16864
2457358.750516,2457358.74971,17.057,0.15229
2457360.769716,2457360.76891,17.295,0.16524
2457362.762156,2457362.76135,17.156,0.15808
2457364.758476,2457364.75767,17.184,0.15963
2457366.717056,2457366.71625,17.019,0.14995
2457494.134855,2457494.13405,16.109,0.0888
2457496.128025,2457496.12722,16.884,0.14118
2457503.107525,2457503.10672,17.084,0.15392
2457505.108385,2457505.10758,17.025,0.15032
2457513.099144,2457513.09834,17.244,0.16276
2457522.072774,2457522.07197,17.441,0.1712
2457528.060174,2457528.05937,17.092,0.1544
2457543.085854,2457543.08505,17.728,0.17691
2457550.076694,2457550.07589,17.538,0.17409
2457559.011623,2457559.01082,17.136,0.15696
2457569.037633,2457569.03683,17.406,0.16993
2457575.945583,2457575.94478,17.242,0.16266
2457579.010093,2457579.00929,17.247,0.16291
2457582.930493,2457582.92969,17.376,0.16876
2457584.051433,2457584.05063,17.379,0.16888
2457603.016293,2457603.01549,17.254,0.16326
2457608.968313,2457608.96751,17.084,0.15392
2457613.872753,2457613.87195,17.045,0.15156
2457621.882143,2457621.88134,17.364,0.16828
2457625.925283,2457625.92448,16.927,0.14404
2457626.924543,2457626.92374,17.374,0.16868
2457639.011703,2457639.0109,17.164,0.15853
2457656.972972,2457656.97217,17.127,0.15644
2457658.903323,2457658.90252,17.338,0.16718
2457663.953022,2457663.95222,17.359,0.16807
2457667.842882,2457667.84208,17.069,0.15302
2457670.799312,2457670.79851,17.26,0.16356
2457680.904962,2457680.90416,17.178,0.1593
2457685.890892,2457685.89009,17.143,0.15735
2457688.881752,2457688.88095,17.132,0.15673
2457693.868012,2457693.86721,17.273,0.16419
2457698.766272,2457698.76547,17.453,0.1716
2457702.788052,2457702.78725,17.084,0.15392
2457707.744771,2457707.74397,16.833,0.13774
2457710.816851,2457710.81605,17.091,0.15434
2457721.785161,2457721.78436,17.454,0.17164
2457871.112589,2457871.11178,17.418,0.17038
2457878.099339,2457878.09853,17.632,0.17599
