Phase,BJD,JD,V,V_error
1.6041193527,2457613.2643147,2457613.26387,17.297,0.0803056661
1.6105906928,2457613.26479466,2457613.26435,17.362,0.0862844134
1.6167923755,2457613.26525462,2457613.26481,17.334,0.0902718118
1.6232635838,2457613.26573457,2457613.26529,17.464,0.09625487
1.6298697558,2457613.26622453,2457613.26578,17.206,0.0593043
1.6363410959,2457613.26670449,2457613.26626,17.135,0.0523450093
1.642947136,2457613.26719444,2457613.26675,17.207,0.0592114854
1.6492836443,2457613.2676644,2457613.26722,17.148,0.0532353266
1.6556201588,2457613.26813436,2457613.26769,17.17,0.0512445119
1.6638441627,2457613.26874431,2457613.2683,17.221,0.057218878
1.6701806772,2457613.26921427,2457613.26877,17.207,0.0583095189
1.6765170536,2457613.26968422,2457613.26924,17.419,0.0711758386
1.6828535618,2457613.27015418,2457613.26971,17.333,0.0641950154
1.6894597338,2457613.27064414,2457613.2702,17.3,0.0602079729
1.6957962421,2457613.2711141,2457613.27067,17.244,0.0593043
1.7022675885,2457613.27159406,2457613.27115,17.032,0.0462709412
1.7084692648,2457613.27205402,2457613.27161,17.156,0.057218878
1.7148056412,2457613.27252397,2457613.27208,17.254,0.0582151183
1.7214118132,2457613.27301393,2457613.27257,17.308,0.0602079729
1.7281528171,2457613.27351389,2457613.27307,17.311,0.0631981012
1.7344891935,2457613.27398384,2457613.27354,17.206,0.0582151183
1.7410953655,2457613.2744738,2457613.27403,17.173,0.0532353266
1.74743188,2457613.27494376,2457613.2745,17.16,0.0562227712
1.7537683883,2457613.27541372,2457613.27497,17.244,0.0583095189
1.7601049028,2457613.27588368,2457613.27544,17.357,0.0671863081
1.7667109367,2457613.27637363,2457613.27593,17.081,0.0513517283
1.7738564362,2457613.27690359,2457613.27646,17.188,0.0542309875
1.7801928126,2457613.27737354,2457613.27693,17.273,0.0593043
1.7865293208,2457613.2778435,2457613.2774,17.213,0.0543323108
1.7934051566,2457613.27835346,2457613.27791,17.14,0.0513517283
1.7996068329,2457613.27881342,2457613.27837,17.177,0.057218878
1.8060780412,2457613.27929337,2457613.27885,17.19,0.0602079729
1.8125493813,2457613.27977333,2457613.27933,17.192,0.0583095189
1.8190207277,2457613.28025329,2457613.27981,17.179,0.0523450093
1.8254920679,2457613.28073325,2457613.28029,17.012,0.0472652092
1.8316937442,2457613.28119321,2457613.28075,17.151,0.0542309875
1.8381649525,2457613.28167316,2457613.28123,17.023,0.0483735465
1.8446362926,2457613.28215312,2457613.28171,17.148,0.0563205114
1.851107639,2457613.28263308,2457613.28219,17.064,0.0502493781
1.8578485048,2457613.28313303,2457613.28269,17.159,0.0512445119
1.8643198449,2457613.28361299,2457613.28317,16.992,0.0492544414
1.8707911913,2457613.28409295,2457613.28365,17.006,0.047381431
1.8769928676,2457613.28455291,2457613.28411,17.159,0.0552268051
1.8833293822,2457613.28502287,2457613.28458,17.23,0.0592114854
1.889935416,2457613.28551282,2457613.28507,17.181,0.0532353266
1.8962719306,2457613.28598278,2457613.28554,17.134,0.0533385414
1.9026084388,2457613.28645274,2457613.28601,17.065,0.0512445119
1.9090797789,2457613.2869327,2457613.28649,17.13,0.0542309875
1.9155509872,2457613.28741265,2457613.28697,16.966,0.0462709412
1.9222919911,2457613.28791261,2457613.28747,17.041,0.048259714
1.9286284993,2457613.28838257,2457613.28794,17.069,0.0522398315
1.9352346776,2457613.28887253,2457613.28843,16.898,0.0442831797
1.9415710477,2457613.28934248,2457613.2889,16.915,0.0444072066
1.9480423941,2457613.28982244,2457613.28938,16.988,0.0472652092
1.9542440705,2457613.2902824,2457613.28984,16.976,0.0472652092
1.9607154169,2457613.29076236,2457613.29032,17.058,0.0493659802
1.9671866189,2457613.29124231,2457613.2908,16.933,0.0414366987
1.9736579653,2457613.29172227,2457613.29128,16.993,0.0493659802
1.9801293054,2457613.29220223,2457613.29176,17.094,0.0513517283
1.9868701711,2457613.29270218,2457613.29226,17.096,0.0512445119
1.9932066857,2457613.29317214,2457613.29273,16.925,0.0434165867
1.999408362,2457613.2936321,2457613.29319,17.012,0.0493659802
