BJD,JD,V,V_error
2457394.564753,2457394.56396,17.624,0.17586
2457396.711733,2457396.71094,17.541,0.17417
2457398.541463,2457398.54067,17.513,0.17344
2457403.796683,2457403.79589,17.464,0.17197
2457405.789923,2457405.78913,17.382,0.169
2457410.780743,2457410.77995,16.664,0.12603
2457415.717053,2457415.71626,13.523,0.02187
2457418.757314,2457418.75652,13.502,0.02186
2457419.752944,2457419.75215,13.6,0.02199
2457420.706694,2457420.7059,13.63,0.02205
2457422.751164,2457422.75037,13.952,0.02356
2457424.746084,2457424.74529,14.167,0.02539
2457425.657954,2457425.65716,14.328,0.02724
2457427.714254,2457427.71346,14.95,0.03895
2457431.731444,2457431.73065,16.663,0.12596
2457433.721914,2457433.72112,17.272,0.16415
2457434.721284,2457434.72049,17.315,0.16616
2457442.695354,2457442.69456,16.79,0.13479
2457444.693624,2457444.69283,17.104,0.1551
2457445.688894,2457445.6881,17.114,0.15569
2457448.683864,2457448.68307,17.448,0.17144
2457456.530294,2457456.5295,17.533,0.17397
2457460.589044,2457460.58825,17.399,0.16967
2457466.628854,2457466.62806,15.056,0.04183
2457470.612754,2457470.61196,16.173,0.09278
2457471.513084,2457471.51229,16.787,0.13459
2457477.603454,2457477.60266,17.216,0.16133
2457485.571954,2457485.57116,17.329,0.16678
2457607.903356,2457607.90256,15.379,0.0525
2457630.848356,2457630.84756,17.099,0.15481
2457641.814816,2457641.81402,17.347,0.16756
2457655.785156,2457655.78436,17.307,0.16579
2457660.832956,2457660.83216,17.433,0.17092
2457663.778326,2457663.77753,17.452,0.17157
2457667.738886,2457667.73809,17.663,0.1764
2457669.845126,2457669.84433,16.964,0.14645
2457671.728976,2457671.72818,17.573,0.17491
2457686.753377,2457686.75258,17.185,0.15968
2457689.678127,2457689.67733,17.232,0.16215
2457696.769867,2457696.76907,13.18,0.02247
2457699.661477,2457699.66068,13.376,0.0219
2457700.750947,2457700.75015,13.555,0.02191
2457703.741037,2457703.74024,13.809,0.02271
2457709.779027,2457709.77823,15.454,0.05543
2457712.729137,2457712.72834,16.57,0.11946
2457714.703087,2457714.70229,16.773,0.13362
2457718.691117,2457718.69032,17.306,0.16575
2457729.679067,2457729.67827,17.587,0.1752
2457747.686947,2457747.68615,14.208,0.02582
2457750.778907,2457750.77811,16.442,0.11058
2457753.616187,2457753.61539,16.675,0.1268
2457756.577149,2457756.57634,16.819,0.13678
2457774.792889,2457774.79208,16.616,0.12267
2457775.788499,2457775.78769,17.067,0.1529
2457778.616289,2457778.61548,17.364,0.16828
2457782.686989,2457782.68618,17.395,0.16951
2457801.716159,2457801.71535,14.022,0.02408
2457802.715379,2457802.71457,14.56,0.03068
2457803.710849,2457803.71004,15.58,0.06075
2457804.710079,2457804.70927,16.981,0.14754
2457806.61523,2457806.61442,16.796,0.1352
2457808.68885,2457808.68804,16.967,0.14664
2457813.55754,2457813.55673,17.137,0.15701
2457827.61767,2457827.61686,16.804,0.13575
2457844.59829,2457844.59748,17.486,0.17265
2457852.5727,2457852.57189,17.016,0.14976
2457856.48455,2457856.48374,16.939,0.14482
2457866.52724,2457866.52643,17.368,0.16844
2457873.47664,2457873.47583,13.683,0.0222
2457887.46593,2457887.46512,16.901,0.14232
2457955.935971,2457955.93516,13.287,0.02208
2457958.925571,2457958.92476,13.556,0.02191
2457964.916201,2457964.91539,14.217,0.02592
2457970.909901,2457970.90909,16.944,0.14515
2457983.916561,2457983.91575,17.396,0.16955
2458009.808771,2458009.80796,17.4,0.16971
2458011.855261,2458011.85445,17.634,0.17602
2458015.787371,2458015.78656,17.168,0.15875
2458018.779591,2458018.77878,16.984,0.14773
2458028.788632,2458028.78782,17.313,0.16607
2458037.816432,2458037.81562,17.362,0.16819
2458047.719392,2458047.71858,16.982,0.14761
2458052.696142,2458052.69533,14.64,0.03211
2458053.693042,2458053.69223,15.731,0.06782
2458094.730542,2458094.72973,14.517,0.02997
2458095.575252,2458095.57444,15.53,0.05858
2458099.689202,2458099.68839,17.283,0.16467
2458102.694402,2458102.69359,17.172,0.15897
2458104.707302,2458104.70649,16.872,0.14038
2458109.743742,2458109.74293,16.95,0.14554
2458125.821142,2458125.82033,17.255,0.16331
2458157.526103,2458157.52529,17.206,0.1608
2458167.565873,2458167.56506,17.434,0.17095
2458215.574913,2458215.5741,17.399,0.16967
2458340.903273,2458340.90246,17.543,0.17422
2458347.883643,2458347.88283,14.641,0.03213
2458354.862983,2458354.86217,17.144,0.15741
2458384.784473,2458384.78366,17.164,0.15853
