BJD,V,V_error
2457997.38531736,12.28,0.002
2457997.38567737,12.3,0.002
2457997.38603737,12.286,0.002
2457997.38638737,12.261,0.002
2457997.38673738,12.265,0.002
2457997.38709738,12.257,0.002
2457997.38745738,12.255,0.002
2457997.38781739,12.287,0.002
2457997.38816739,12.253,0.002
2457997.38852739,12.258,0.002
2457997.3888874,12.238,0.002
2457997.3892374,12.239,0.002
2457997.3895974,12.259,0.002
2457997.38995741,12.247,0.002
2457997.39030741,12.235,0.002
2457997.39066741,12.244,0.002
2457997.39102741,12.231,0.002
2457997.39138742,12.205,0.002
2457997.39173742,12.209,0.002
2457997.39209742,12.221,0.002
2457997.39244743,12.208,0.002
2457997.39280743,12.205,0.002
2457997.39316743,12.218,0.002
2457997.39352744,12.212,0.002
2457997.39388744,12.191,0.002
2457997.39423744,12.203,0.002
2457997.39459745,12.191,0.002
2457997.39494745,12.201,0.002
2457997.39530745,12.189,0.002
2457997.39566746,12.193,0.002
2457997.39602746,12.175,0.002
2457997.39638746,12.182,0.002
2457997.39673747,12.142,0.002
2457997.39744747,12.171,0.002
2457997.39780748,12.167,0.002
2457997.39816748,12.156,0.002
2457997.39852748,12.151,0.002
2457997.39888748,12.131,0.002
2457997.39922749,12.13,0.002
2457997.39958749,12.106,0.002
2457997.39994749,12.125,0.002
2457997.4003075,12.114,0.002
2457997.4006675,12.075,0.002
2457997.4010275,12.074,0.002
2457997.40138751,12.064,0.002
2457997.40173751,12.055,0.002
2457997.40208751,12.059,0.002
2457997.40244751,12.062,0.002
2457997.40280752,12.052,0.002
2457997.40316752,12.039,0.002
2457997.40352752,12.03,0.002
2457997.40388753,12.016,0.002
2457997.40423753,12.042,0.002
2457997.40459753,12.051,0.002
2457997.40494754,12.07,0.002
2457997.40531754,12.058,0.002
2457997.40566754,12.029,0.002
2457997.40602755,12.043,0.002
2457997.40638755,12.054,0.002
2457997.40673755,12.057,0.002
2457997.40709756,12.071,0.002
2457997.40745756,12.085,0.002
2457997.40781756,12.06,0.002
2457997.40816756,12.066,0.002
2457997.40852757,12.078,0.002
2457997.40888757,12.087,0.002
2457997.40925757,12.077,0.002
2457997.40959758,12.09,0.002
2457997.40995758,12.08,0.002
2457997.41031758,12.093,0.002
2457997.41067759,12.107,0.002
2457997.41103759,12.1,0.002
2457997.41139759,12.113,0.002
2457997.4117376,12.083,0.002
2457997.4120976,12.119,0.002
2457997.4124576,12.12,0.002
2457997.4128176,12.128,0.002
2457997.41317761,12.116,0.002
2457997.41353761,12.119,0.002
2457997.41389761,12.126,0.002
2457997.41425762,12.111,0.002
2457997.41459762,12.125,0.002
2457997.41495762,12.133,0.002
2457997.41531763,12.143,0.002
2457997.41567763,12.158,0.002
2457997.41603763,12.142,0.002
2457997.41639764,12.149,0.002
2457997.41673764,12.14,0.002
2457997.41709764,12.161,0.002
2457997.41745764,12.156,0.002
2457997.41781765,12.148,0.002
2457997.41816765,12.157,0.002
2457997.41852765,12.172,0.002
2457997.41888766,12.182,0.002
2457997.41923766,12.195,0.002
2457997.41959766,12.194,0.002
2457997.41994767,12.196,0.002
2457997.42030767,12.188,0.002
2457997.42066767,12.177,0.002
2457997.42102768,12.173,0.002
2457997.42138768,12.183,0.002
2457997.42173768,12.187,0.002
2457997.42209768,12.171,0.002
2457997.42245769,12.177,0.002
2457997.42281769,12.194,0.002
2457997.42317769,12.21,0.002
2457997.4235377,12.218,0.002
2457997.4238977,12.205,0.002
2457997.4242577,12.216,0.002
2457997.42459771,12.226,0.002
2457997.42495771,12.224,0.002
2457997.42531771,12.225,0.002
2457997.42567772,12.236,0.002
2457997.42603772,12.219,0.002
2457997.42639772,12.231,0.002
2457997.42675772,12.222,0.002
2457997.42710773,12.234,0.002
2457997.42745773,12.237,0.002
2457997.42781773,12.222,0.002
2457997.42817774,12.24,0.002
2457997.42853774,12.233,0.002
2457997.42889774,12.23,0.002
2457997.42925775,12.234,0.002
2457997.42960775,12.219,0.002
2457997.42996775,12.21,0.002
2457997.43032776,12.237,0.002
2457997.43068776,12.215,0.002
2457997.43104776,12.233,0.002
2457997.43140776,12.244,0.002
2457997.43175777,12.226,0.002
2457997.43210777,12.244,0.002
2457997.43247777,12.234,0.002
2457997.43283778,12.243,0.002
2457997.43319778,12.262,0.002
2457997.43354778,12.244,0.002
2457997.43390779,12.252,0.002
2457997.43427779,12.243,0.002
2457997.43462779,12.245,0.002
2457997.43497779,12.251,0.002
2457997.4353378,12.261,0.002
2457997.4356978,12.252,0.002
2457997.4360578,12.263,0.002
2457997.43641781,12.268,0.002
2457997.43677781,12.279,0.002
2457997.43713781,12.258,0.002
2457997.43749782,12.265,0.002
2457997.43784782,12.253,0.002
2457997.43820782,12.256,0.002
2457997.43856783,12.291,0.002
2457997.43892783,12.27,0.002
2457997.43927783,12.267,0.002
2457997.43963784,12.27,0.002
2457997.43999784,12.271,0.002
2457997.44034784,12.263,0.002
2457997.44070784,12.25,0.002
2457997.44106785,12.246,0.002
2457997.44142785,12.26,0.002
2457997.44178785,12.255,0.002
2457997.44214786,12.257,0.002
2457997.44250786,12.267,0.002
2457997.44286786,12.27,0.002
2457997.44322786,12.264,0.002
2457997.44357787,12.28,0.002
2457997.44393787,12.269,0.002
2457997.44429787,12.252,0.002
2457997.44465788,12.282,0.002
2457997.44501788,12.282,0.002
2457997.44537788,12.273,0.002
2457997.44573789,12.271,0.002
2457997.44609789,12.27,0.002
2457997.44643789,12.279,0.002
2457997.44679789,12.293,0.002
2457997.4471579,12.295,0.002
2457997.4475179,12.273,0.002
2457997.4478779,12.27,0.002
2457997.44823791,12.294,0.002
2457997.44859791,12.292,0.002
2457997.44894791,12.281,0.002
2457997.44930792,12.255,0.002
2457997.44966792,12.266,0.002
2457997.45002792,12.271,0.002
2457997.45037792,12.253,0.002
2457997.45073793,12.238,0.002
2457997.45109793,12.284,0.002
2457997.45144793,12.252,0.002
2457997.45180794,12.262,0.002
2457997.45216794,12.236,0.002
2457997.45252794,12.253,0.002
2457997.45288795,12.255,0.002
2457997.45323795,12.228,0.002
2457997.45360795,12.226,0.002
2457997.45396795,12.221,0.002
2457997.45431796,12.217,0.002
2457997.45467796,12.235,0.002
2457997.45503796,12.212,0.002
2457997.45539797,12.195,0.002
2457997.45575797,12.193,0.002
2457997.45611797,12.204,0.002
2457997.45647798,12.222,0.002
2457997.45683798,12.204,0.002
2457997.45719798,12.211,0.002
2457997.45754798,12.215,0.002
2457997.45790799,12.166,0.002
2457997.45826799,12.181,0.002
2457997.45862799,12.178,0.002
2457997.458988,12.171,0.002
2457997.459368,12.163,0.002
2457997.459728,12.151,0.002
2457997.46008801,12.166,0.002
2457997.46044801,12.175,0.002
2457997.46080801,12.15,0.002
2457997.46116801,12.138,0.002
2457997.46151802,12.137,0.002
2457997.46187802,12.13,0.002
2457997.46223802,12.115,0.002
2457997.46258803,12.092,0.002
2457997.46294803,12.092,0.002
2457997.46501805,12.096,0.002
2457997.46537805,12.07,0.002
2457997.46573805,12.064,0.002
2457997.46609806,12.076,0.002
2457997.46644806,12.075,0.002
2457997.46680806,12.07,0.002
2457997.46716806,12.086,0.002
