BJD,V,V_error
2458000.31002446,12.4535,0.021866464787
2458000.31059446,12.474,0.021157894321
2458000.31115696,12.51625,0.0201121853564
2458000.31172696,12.46375,0.0220365127851
2458000.31229447,12.4375,0.0218582299904
2458000.31285947,12.5475,0.0195911842556
2458000.31342197,12.454,0.0211602637678
2458000.31399197,12.485,0.0206415111099
2458000.31455948,12.46475,0.021686729705
2458000.31512198,12.5505,0.0201248180092
2458000.31568948,12.5565,0.0194295889817
2458000.31625699,12.53725,0.020641850234
2458000.31681699,12.52675,0.0204733679902
2458000.31738699,12.508,0.0209838383373
2458000.31795449,12.53575,0.020305522534
2458000.318517,12.525,0.0202872398682
2458000.3190795,12.47775,0.0211572326105
2458000.319652,12.485,0.0204633819133
2458000.320222,12.49775,0.020472976019
2458000.32078201,12.493,0.020812078524
2458000.32135451,12.4765,0.0208357538197
2458000.32191951,12.532,0.0199392135265
2458000.32247702,12.455,0.0209896252271
2458000.32304452,12.45725,0.020812078524
2458000.32361452,12.45925,0.0209836661547
2458000.32417453,12.457,0.0208088256498
2458000.32474203,12.49075,0.0208357538197
2458000.32531453,12.502,0.0202870492271
2458000.32587453,12.4965,0.0204604186877
2458000.32644203,12.48425,0.0211609489845
2458000.32701204,12.5005,0.0208117421737
2458000.32757954,12.533,0.0199452843036
2458000.32814204,12.443,0.0216811185022
2458000.32870955,12.5355,0.0197675930387
2458000.32927705,12.52025,0.0199396159905
2458000.32983705,12.47325,0.0206354450385
2458000.33040706,12.505,0.020635972598
2458000.33097706,12.54375,0.0195913961091
2458000.33154206,12.50925,0.0208121019276
2458000.33210456,12.50525,0.0199454923959
2458000.33267707,12.4935,0.0225259458236
2458000.33324207,12.51225,0.0204637474704
2458000.33380707,12.493,0.0208121019276
2458000.33437457,12.52675,0.0204604186877
2458000.33493958,12.55625,0.0201157610296
2458000.33549958,12.54725,0.0195911842556
2458000.33606458,12.535,0.0192437769039
2458000.33663708,12.55225,0.0192437769039
2458000.33720459,12.52825,0.0196112270582
2458000.33776709,12.53975,0.0194202573707
2458000.33833959,12.53725,0.0195913961091
2458000.33890709,12.5675,0.019082593269
2458000.3394671,12.60525,0.018896390585
2458000.3400346,12.54025,0.019776981961
2458000.3406046,12.5175,0.0202932131622
2458000.3411721,12.55975,0.0194295582855
2458000.34173211,12.54125,0.0194169153306
2458000.34229961,12.5285,0.0202870492271
2458000.34286961,12.5615,0.0192444271698
2458000.34343712,12.52225,0.0194295582855
2458000.34400212,12.52775,0.0197675930387
2458000.34457462,12.54375,0.0187226029287
2458000.34513712,12.50775,0.0190724651686
2458000.34569963,12.51925,0.0194167015734
2458000.34626713,12.571,0.0185567599353
2458000.34682963,12.589,0.018031871597
