Phase,BJD,JD,V,V_error
1.3308440422,2457817.57413169,2457817.57098,17.78,0.0310128986
1.3355635285,2457817.57448172,2457817.57133,17.843,0.0340117611
1.3402830085,2457817.57483175,2457817.57168,17.808,0.0350114251
1.3448676629,2457817.57517178,2457817.57202,17.887,0.0380105233
1.3495870174,2457817.5755218,2457817.57237,17.805,0.0330121177
1.3543064974,2457817.57587183,2457817.57272,17.682,0.029013789
1.3588911518,2457817.57621186,2457817.57306,17.768,0.0290137883
1.363610638,2457817.57656189,2457817.57341,17.814,0.0340117613
1.3683301243,2457817.57691192,2457817.57376,17.748,0.0320124958
1.3730494725,2457817.57726194,2457817.57411,17.756,0.0330121178
1.3776341269,2457817.57760197,2457817.57445,17.854,0.0340117612
1.3823536069,2457817.577952,2457817.5748,17.782,0.0320124958
1.3870730932,2457817.57830203,2457817.57515,17.729,0.0300133282
1.3917925795,2457817.57865206,2457817.5755,17.773,0.0310128991
1.3963770957,2457817.57899208,2457817.57584,17.775,0.0320124962
1.401096582,2457817.57934211,2457817.57619,17.848,0.0350114253
1.4058160683,2457817.57969214,2457817.57654,17.828,0.0320124961
1.4104007164,2457817.58003217,2457817.57688,17.782,0.032012496
1.4151202027,2457817.5803822,2457817.57723,17.773,0.0320124958
1.4198395509,2457817.58073222,2457817.57758,17.807,0.0340117611
1.4245590371,2457817.58108225,2457817.57793,17.785,0.0310128992
1.4291436915,2457817.58142228,2457817.57827,17.798,0.0320124957
1.4338631778,2457817.58177231,2457817.57862,17.791,0.0300133283
1.4385826578,2457817.58212234,2457817.57897,17.743,0.0300133292
1.4433020123,2457817.58247236,2457817.57932,17.8,0.0320124957
1.4478866604,2457817.58281239,2457817.57966,17.745,0.0300133284
1.4526061467,2457817.58316242,2457817.58001,17.83,0.0330121173
1.4573256329,2457817.58351245,2457817.58036,17.782,0.0330121175
1.4619102873,2457817.58385248,2457817.5807,17.825,0.0330121172
1.4666296355,2457817.5842025,2457817.58105,17.831,0.0320124962
1.4713491218,2457817.58455253,2457817.5814,17.752,0.0310128994
