BJD,JD,V,V_error
2454648.73913843,2454648.73522,17.99,0.12
2454648.74658791,2454648.74267,18.18,0.13
2454624.80573309,2454624.80044,18.02,0.1
2454624.81418272,2454624.80889,17.99,0.1
2454624.82263234,2454624.81734,17.72,0.09
2454624.83108197,2454624.82579,17.56,0.09
2454529.86005471,2454529.85696,17.56,0.1
2454529.87038555,2454529.86729,17.53,0.1
2454529.8807264,2454529.87763,17.56,0.1
2454529.89112724,2454529.88803,17.3,0.09
2454591.84817565,2454591.84221,13.98,0.05
2454591.85624568,2454591.85028,14,0.05
2454591.86429571,2454591.85833,14,0.05
2454591.87238573,2454591.86642,14.01,0.05
2454598.745856,2454598.7399,17.66,0.1
2454599.76328853,2454599.75734,17.65,0.1
2454599.77031847,2454599.76437,17.44,0.09
2454599.77734842,2454599.7714,17.62,0.1
2454599.78441836,2454599.77847,17.58,0.1
2454924.87222095,2454924.86712,18.09,0.12
2454924.87931131,2454924.87421,17.97,0.11
2454924.88657167,2454924.88147,18.01,0.11
2454924.89381204,2454924.88871,18.05,0.11
2454940.83603743,2454940.83031,18.02,0.11
2454940.84265762,2454940.83693,18.01,0.11
2454940.84923781,2454940.84351,17.89,0.11
2454940.85585799,2454940.85013,17.65,0.1
2454947.90479918,2454947.89891,17.83,0.11
2454947.9119893,2454947.9061,17.91,0.11
2454947.91926943,2454947.91338,17.84,0.11
2454947.92629955,2454947.92041,18.07,0.12
2454889.98325442,2454889.98056,18.22,0.12
2454889.99131509,2454889.98862,17.99,0.11
2454889.99926576,2454889.99657,17.81,0.1
2454890.00723643,2454890.00454,17.63,0.1
2455040.68345395,2455040.68163,17.85,0.11
2455040.68833353,2455040.68651,17.74,0.1
2455040.6932031,2455040.69138,17.62,0.1
2455040.69795269,2455040.69613,17.73,0.1
2454983.86258947,2454983.85703,12.68,0.05
2454983.86923923,2454983.86368,12.53,0.05
2454983.87593899,2454983.87038,12.84,0.05
2454983.88261875,2454983.87706,12.53,0.05
2454996.78084566,2454996.77585,13.86,0.05
2454996.78726532,2454996.78227,13.86,0.05
2454996.79358499,2454996.78859,13.86,0.05
2454996.79998466,2454996.79499,13.82,0.05
2455004.78407443,2455004.77953,16.96,0.08
2455004.79116399,2455004.78662,16.97,0.08
2455004.79836355,2455004.79382,16.88,0.08
2455004.8056931,2455004.80115,17.19,0.09
2454908.9247301,2454908.92058,18.14,0.12
2454908.93768099,2454908.93353,17.88,0.11
2454908.95070189,2454908.94655,17.61,0.1
2454908.96361277,2454908.95946,17.77,0.1
2454917.94136433,2454917.93664,18.05,0.11
2454917.94624462,2454917.94152,17.91,0.11
2454917.9510749,2454917.94635,17.92,0.11
2454917.95580517,2454917.95108,17.99,0.11
2454964.9113218,2454964.90535,17.99,0.12
2454964.91670175,2454964.91073,18.01,0.12
2454964.9220417,2454964.91607,18.04,0.13
2454964.92729166,2454964.92132,17.62,0.11
2454974.72394321,2454974.71812,18.03,0.11
2454974.7293531,2454974.72353,18.11,0.12
2454974.73485298,2454974.72903,18.05,0.11
2454974.74027286,2454974.73445,18.18,0.13
2455291.00858578,2455291.00343,17.84,0.11
2455291.00976584,2455291.00461,17.52,0.1
2455291.01092589,2455291.00577,17.83,0.11
2455291.01209595,2455291.00694,17.66,0.1
2455295.88053845,2455295.87516,17.71,0.1
2455295.88771876,2455295.88234,17.52,0.09
2455295.89488906,2455295.88951,17.44,0.09
2455295.90210937,2455295.89673,17.49,0.09
2455364.76254153,2455364.75768,17.98,0.11
2455364.76762124,2455364.76276,18.01,0.11
2455364.77276096,2455364.7679,18.1,0.12
2455364.77793067,2455364.77307,18.04,0.11
2455275.9611422,2455275.95686,17.78,0.1
2455275.96757263,2455275.96329,17.88,0.11
2455275.97397306,2455275.96969,17.65,0.1
2455275.98036348,2455275.97608,17.42,0.09
2455322.85514115,2455322.84914,17.87,0.11
2455322.86148117,2455322.85548,17.86,0.11
2455322.86780119,2455322.8618,18.01,0.11
2455322.87417121,2455322.86817,18,0.11
2455329.84089612,2455329.83491,17.51,0.09
2455329.84722607,2455329.84124,17.78,0.1
2455329.85361602,2455329.84763,17.92,0.11
2455329.85999597,2455329.85401,17.9,0.11
2455334.85873004,2455334.8528,17.92,0.11
2455334.86508994,2455334.85916,17.87,0.11
2455334.87136984,2455334.86544,17.19,0.12
2455334.88441964,2455334.87849,17.98,0.13
2455347.82223548,2455347.81662,17.71,0.11
2455347.82782529,2455347.82221,17.61,0.11
2455347.8334451,2455347.82783,17.49,0.1
2455347.83906491,2455347.83345,17.58,0.11
2455654.94239914,2455654.9373,18.01,0.12
2455654.9475094,2455654.94241,18,0.12
2455654.95264966,2455654.94755,17.68,0.11
2455654.95773991,2455654.95264,17.59,0.11
2455674.96504925,2455674.95921,17.59,0.1
2455674.9718994,2455674.96606,17.89,0.11
2455674.97882956,2455674.97299,17.83,0.11
2455674.98565971,2455674.97982,18.09,0.12
2455598.02092086,2455598.02019,17.99,0.11
