BJD,JD,V,V_error
2457804.25986797,2457804.2584,16.2433333333,0.0496340532
2457804.25998797,2457804.25852,16.1243333333,0.0450165733
2457804.26009796,2457804.25863,16.2523333333,0.0472243387
2457804.26021796,2457804.25875,16.1716666667,0.0453662265
2457804.26033796,2457804.25887,16.2093333333,0.0433609983
2457804.26044795,2457804.25898,16.2746666667,0.0423401557
2457804.26056795,2457804.2591,16.266,0.0430942319
2457804.26067795,2457804.25921,16.2806666667,0.0423662854
2457804.26079794,2457804.25933,16.2416666667,0.0446642379
2457804.26091794,2457804.25945,16.2113333333,0.040571575
2457804.26102794,2457804.25956,16.2826666667,0.040253315
2457804.26114793,2457804.25968,16.2746666667,0.042498109
2457804.26125793,2457804.25979,16.2343333333,0.0371754843
2457804.26137793,2457804.25991,16.2836666667,0.0396463008
2457804.26149792,2457804.26003,16.2966666667,0.0412148748
2457804.26160792,2457804.26014,16.312,0.0396639225
2457804.26172792,2457804.26026,16.295,0.0411835568
2457804.26183792,2457804.26037,16.2966666667,0.0412378446
2457804.26195791,2457804.26049,16.3443333333,0.0430018976
2457804.26206791,2457804.2606,16.305,0.0403469744
2457804.26218791,2457804.26072,16.3056666667,0.0431573202
2457804.2623079,2457804.26084,16.277,0.038853814
2457804.2624179,2457804.26095,16.2646666667,0.0382494841
2457804.2625379,2457804.26107,16.2933333333,0.0388897529
2457804.26264789,2457804.26118,16.318,0.0372709385
2457804.26276789,2457804.2613,16.2486666667,0.0362845842
2457804.26288789,2457804.26142,16.2923333333,0.0372914571
2457804.26299788,2457804.26153,16.3026666667,0.03769624
2457804.26311788,2457804.26165,16.285,0.0384563967
2457804.26322788,2457804.26176,16.274,0.0350768136
2457804.26334787,2457804.26188,16.2866666667,0.038775053
2457804.26346787,2457804.262,16.3416666667,0.0342208725
2457804.26357787,2457804.26211,16.3193333333,0.034605963
2457804.26369786,2457804.26223,16.269,0.0326757493
2457804.26380786,2457804.26234,16.3536666667,0.0323139082
2457804.26392786,2457804.26246,16.3576666667,0.0324497193
2457804.26404785,2457804.26258,16.2723333333,0.0305951167
2457804.26415785,2457804.26269,16.313,0.032000393
2457804.26427785,2457804.26281,16.296,0.0322666877
2457804.26438785,2457804.26292,16.339,0.0317195586
2457804.26450784,2457804.26304,16.3296666667,0.0279989685
2457804.26461784,2457804.26315,16.3673333333,0.0315372109
2457804.26473784,2457804.26327,16.3003333333,0.0317195586
2457804.26485783,2457804.26339,16.331,0.0302431038
2457804.26496783,2457804.2635,16.354,0.0305783699
2457804.26508783,2457804.26362,16.3096666667,0.0290451305
2457804.26519782,2457804.26373,16.3833333333,0.0298544298
2457804.26531782,2457804.26385,16.3683333333,0.0297097712
2457804.26543782,2457804.26397,16.4013333333,0.0299001232
2457804.26554781,2457804.26408,16.3556666667,0.0287563487
2457804.26566781,2457804.2642,16.3293333333,0.0282188729
2457804.26577781,2457804.26431,16.3703333333,0.0285286446
2457804.2658978,2457804.26443,16.3313333333,0.0288939589
2457804.2660178,2457804.26455,16.3686666667,0.028494772
2457804.2661278,2457804.26466,16.4283333333,0.0283811427
2457804.26624779,2457804.26478,16.4083333333,0.02948943
2457804.26635779,2457804.26489,16.4283333333,0.0295233958
2457804.26647779,2457804.26501,16.414,0.0285637529
2457804.26658779,2457804.26512,16.383,0.0279951528
2457804.26670778,2457804.26524,16.456,0.0278920147
2457804.26682778,2457804.26536,16.4283333333,0.0280309293
2457804.26693778,2457804.26547,16.4263333333,0.0279606339
2457804.26705777,2457804.26559,16.4343333333,0.0280309293
2457804.26716777,2457804.2657,16.409,0.0254988654
2457804.26728777,2457804.26582,16.4466666667,0.0290186363
2457804.26740776,2457804.26594,16.4073333333,0.0267753611
2457804.26751776,2457804.26605,16.4093333333,0.0279273774
2457804.26763776,2457804.26617,16.4486666667,0.0264716355
2457804.26774775,2457804.26628,16.427,0.0267319415
2457804.26786775,2457804.2664,16.4573333333,0.0278953877
2457804.26798775,2457804.26652,16.4023333333,0.0263220117
2457804.26809774,2457804.26663,16.429,0.0279606339
2457804.26821774,2457804.26675,16.4066666667,0.0266609551
2457804.26832774,2457804.26686,16.401,0.0266609551
2457804.26844773,2457804.26698,16.487,0.026627444
