BJD,V,V_error
2458001.27285277,12.6495,0.0205548047861
2458001.27337277,12.697,0.0197673973861
2458001.27387277,12.659,0.0194293592288
2458001.27439778,12.6165,0.0198620240732
2458001.27491778,12.682,0.0194871752674
2458001.27542778,12.617,0.020530465169
2458001.27593278,12.648,0.0198368344323
2458001.27646278,12.612,0.0201246117711
2458001.27695778,12.708,0.0191441896965
2458001.27748779,12.643,0.0201928205017
2458001.27800279,12.6875,0.018808242873
2458001.27850279,12.688,0.0194164878139
2458001.27902779,12.7025,0.0187216452341
2458001.27954779,12.6555,0.0197673973861
2458001.2800528,12.664,0.0181038670142
2458001.2805728,12.7075,0.0187216452341
2458001.2810928,12.646,0.0194871752674
2458001.2815878,12.651,0.0187749833385
2458001.2821178,12.7315,0.01768473918
2458001.28262781,12.665,0.0190722311135
2458001.28313281,12.6955,0.0183779759643
2458001.28366281,12.6475,0.0190722311135
2458001.28417781,12.6735,0.0187349939931
2458001.28467781,12.634,0.0180277564
2458001.28520781,12.7065,0.0187216452341
2458001.28571782,12.6505,0.01768473918
2458001.28622282,12.6185,0.0183779759643
2458001.28675282,12.6275,0.0180416185414
2458001.28726782,12.5705,0.0187216452341
2458001.28777282,12.5505,0.019098429263
2458001.28829283,12.589,0.0183779759643
2458001.28880783,12.5805,0.01768473918
2458001.28931283,12.547,0.0187216452341
2458001.28984283,12.5935,0.0190722311135
2458001.29034783,12.541,0.018020821283
2458001.29086284,12.64,0.0165227116425
2458001.29138284,12.51,0.018614510458
2458001.29189784,12.519,0.0179791545901
2458001.29240284,12.5655,0.0168597153063
2458001.29292784,12.49,0.0175855054174
2458001.29343785,12.5495,0.0168597153063
2458001.29395285,12.5085,0.0172046505191
2458001.29447785,12.514,0.0168597153063
2458001.29498785,12.488,0.0168597153063
2458001.29549785,12.4545,0.0182551362714
2458001.29601785,12.497,0.0172191753705
2458001.29653786,12.4435,0.0189538914193
2458001.29704286,12.4895,0.0175855054174
2458001.29756786,12.4815,0.0175570498579
2458001.29807786,12.47,0.0179025137883
2458001.29859286,12.537,0.0172191753705
2458001.29910787,12.475,0.0182551362714
2458001.29962787,12.4815,0.018614510458
2458001.30013287,12.5065,0.0189538914193
2458001.30065787,12.4775,0.0189538914193
2458001.30116787,12.5495,0.0165075740476
2458001.30167787,12.487,0.0182825052813
2458001.30219788,12.495,0.0175570498579
2458001.30270788,12.5625,0.0175855054174
2458001.30322288,12.4955,0.0182551362714
2458001.30374288,12.5365,0.0187349939931
2458001.30425788,12.5825,0.0176210101705
2458001.30476288,12.569,0.0179652442338
2458001.30528789,12.556,0.0180277564
2458001.30579789,12.6105,0.0173493515874
2458001.30631289,12.604,0.017269916016
2458001.30683289,12.547,0.0180416185414
2458001.30734289,12.5865,0.0176210101705
2458001.3078529,12.61,0.0172843860193
2458001.3083779,12.6165,0.01768473918
2458001.3088879,12.5395,0.0194293592288
2458001.3093979,12.6485,0.0169926454548
2458001.3099229,12.674,0.0173349357921
2458001.3104329,12.6365,0.01768473918
2458001.31094291,12.611,0.0173349357921
2458001.31146791,12.5685,0.0179652442338
2458001.31197791,12.601,0.0173349357921
