Phase,BJD,JD,V,V_error
0.633769333,2457612.22817575,2457612.22764,16.473,0.0529528092
0.6380835137,2457612.22849572,2457612.22796,16.581,0.0608276253
0.6422628688,2457612.22880569,2457612.22827,16.708,0.064776539
0.6464422176,2457612.22911566,2457612.22858,16.686,0.064776539
0.6510260621,2457612.22945563,2457612.22892,16.697,0.0657647322
0.655205549,2457612.22976561,2457612.22923,16.471,0.0529528092
0.6593849041,2457612.23007558,2457612.22954,16.749,0.0697208721
0.6636990848,2457612.23039555,2457612.22986,16.595,0.0608276253
0.6678784399,2457612.23070552,2457612.23017,16.817,0.0687313611
0.6720579269,2457612.2310155,2457612.23048,16.695,0.064776539
0.6767766032,2457612.23136547,2457612.23083,16.462,0.0549181209
0.680955952,2457612.23167544,2457612.23114,16.544,0.0608276253
0.6855397965,2457612.23201541,2457612.23148,16.56,0.0549181209
0.6897191516,2457612.23232538,2457612.23179,16.663,0.0608276253
0.6938985004,2457612.23263535,2457612.2321,16.75,0.069584481
0.6980779874,2457612.23294533,2457612.23241,16.789,0.0685930026
0.7023921681,2457612.2332653,2457612.23273,16.655,0.0657647322
0.7065715232,2457612.23357527,2457612.23304,16.629,0.0646297145
0.7110205358,2457612.23390524,2457612.23337,16.723,0.0697208721
0.7153347165,2457612.23422521,2457612.23369,16.685,0.0657647322
0.7196489035,2457612.23454518,2457612.23401,16.837,0.0676017751
0.7238283904,2457612.23485516,2457612.23432,16.603,0.0608276253
0.7284122349,2457612.23519513,2457612.23466,16.656,0.0626498204
0.7325915837,2457612.2355051,2457612.23497,16.585,0.0568858506
0.7367709388,2457612.23581507,2457612.23528,16.542,0.0557314992
0.7410851195,2457612.23613504,2457612.2356,16.754,0.0717007671
0.7452646065,2457612.23644502,2457612.23591,16.627,0.0637887137
0.7494439616,2457612.23675499,2457612.23622,16.885,0.0806225775
0.754027806,2457612.23709496,2457612.23656,16.638,0.06166036
0.7582071549,2457612.23740493,2457612.23687,16.595,0.0588557559
0.7626561675,2457612.2377349,2457612.2372,16.723,0.0687313611
0.76710518,2457612.23806487,2457612.23753,16.72,0.0656201189
0.771284667,2457612.23837485,2457612.23784,16.668,0.0657647322
0.7753291902,2457612.23867482,2457612.23814,16.555,0.0586941224
0.7797782028,2457612.23900479,2457612.23847,16.749,0.0667532771
0.7839575579,2457612.23931476,2457612.23878,16.721,0.0606712452
0.7882717386,2457612.23963473,2457612.2391,16.696,0.0667532771
0.7925860574,2457612.23995471,2457612.23942,16.752,0.0687313611
0.7969002381,2457612.24027468,2457612.23974,16.656,0.0608276253
0.8009447614,2457612.24057465,2457612.24004,16.84,0.0937709976
0.8451653742,2457612.24385436,2457612.24332,16.719,0.0715681493
0.849344723,2457612.24416433,2457612.24363,16.597,0.06166036
0.8535242099,2457612.24447431,2457612.24394,16.831,0.0746726188
0.857703565,2457612.24478428,2457612.24425,16.891,0.0796303962
0.8622874095,2457612.24512425,2457612.24459,16.848,0.0726911274
0.8664667583,2457612.24543422,2457612.2449,16.774,0.0717007671
0.8706461134,2457612.24574419,2457612.24521,16.761,0.0687313611
0.8748256004,2457612.24605417,2457612.24552,16.711,0.0657647322
0.8791397811,2457612.24637414,2457612.24584,16.76,0.0707106781
0.8833191299,2457612.24668411,2457612.24615,16.757,0.0687313611
0.8879029744,2457612.24702408,2457612.24649,16.743,0.0677421582
