BJD,i,i_error
2457611.2482519,15.0726666667,0.0513704771
2457611.24891184,15.0923333333,0.0563456197
2457611.24956178,15.0713333333,0.0523706602
2457611.2504417,15.0903333333,0.054390631
2457611.25109165,15.097,0.0573715464
2457611.25153161,15.1066666667,0.057342224
2457611.25197157,15.0696666667,0.050342857
2457611.25263151,15.0926666667,0.0514119883
2457611.25328145,15.033,0.0524100913
2457611.25372141,15.0893333333,0.0524055411
2457611.25438135,15.1086666667,0.0513659921
2457611.25548126,15.0126666667,0.0484075369
2457611.25659116,15.1816666667,0.0613473254
2457611.2572611,15.0676666667,0.0534024126
2457611.25770106,15.1063333333,0.0573702078
2457611.258361,15.013,0.0504216297
2457611.25945091,15.112,0.0523720237
2457611.26077079,15.1976666667,0.0553104842
2457611.26165071,15.128,0.0533235713
2457611.26275061,15.0196666667,0.0503384411
2457611.26385052,14.984,0.0484013022
2457611.26429048,15.0496666667,0.0484375117
2457611.26538038,15.036,0.0484360375
2457611.26692024,15.0613333333,0.0514134296
2457611.26780017,15.0533333333,0.0504201601
2457611.26869009,14.966,0.0514119883
2457611.26957001,15.1853333333,0.0553849648
2457611.27045993,15.178,0.0533509357
2457611.27133985,15.137,0.0523255068
2457611.27178981,15.0446666667,0.0493439078
2457611.27266973,15.0656666667,0.0473598845
2457611.27354966,15.118,0.0503370762
2457611.27399962,15.2303333333,0.0553091445
2457611.27509952,15.1226666667,0.048351021
2457611.27619942,15.0276666667,0.0463676467
2457611.27708934,15.0953333333,0.0513332394
2457611.27818925,15.0726666667,0.0513822017
2457611.27928915,15.0863333333,0.0503370762
2457611.28016907,15.1203333333,0.0553822403
2457611.28083901,15.1143333333,0.0543162008
2457611.28149895,15.0766666667,0.0484027774
2457611.28236888,15.0336666667,0.0503732583
2457611.28389874,15.1526666667,0.0543557599
2457611.28499864,15.1136666667,0.0473613922
2457611.2854386,15.066,0.0503398596
2457611.28609854,15.0623333333,0.0493453003
2457611.28741843,15.1126666667,0.0594375217
2457611.28852833,15.291,0.0793966618
2457611.29028817,15.173,0.0684109682
2457611.29205801,15.1123333333,0.0564263845
2457611.29293794,15.0153333333,0.0524055411
2457611.29424782,15.179,0.0563322495
2457611.29599766,15.3536666667,0.0763390766
2457611.29752753,15.0766666667,0.058443602
2457611.29842745,15.2033333333,0.0583613719
2457611.29975733,15.174,0.0523576388
2457611.30085723,15.0786666667,0.0524027646
2457611.30216712,15.1543333333,0.0563741939
2457611.303487,15.2136666667,0.0524041272
2457611.30393696,15.1106666667,0.0564278409
2457611.30437692,15.0906666667,0.0574542317
2457611.30481688,15.1706666667,0.058363865
2457611.30525684,15.14,0.0553822403
2457611.30612677,15.1443333333,0.0573702078
2457611.30766663,15.2163333333,0.0633363587
2457611.30876653,15.1763333333,0.0603557593
2457611.30920649,15.1683333333,0.0573702078
2457611.30964645,15.1086666667,0.0543935043
2457611.31008641,15.048,0.0514164692
2457611.31095634,15.108,0.0553849648
2457611.31226622,15.1236666667,0.0774367993
2457611.31336612,15.1386666667,0.098622829
2457611.31447602,15.0983333333,0.0794660542
2457611.31536594,15.106,0.0765609939
2457611.3158159,15.2006666667,0.0975118134
2457611.31624587,15.1106666667,0.0835512485
2457611.31713578,15.0176666667,0.0886744028
2457611.31845567,14.9253333333,0.0867007372
2457611.32022551,14.973,0.0826033857
2457611.32155539,14.9853333333,0.0876578468
2457611.32266529,15.0303333333,0.0937107004
2457611.32420516,15.3206666667,0.11247837
2457611.32508508,15.2293333333,0.091470177
2457611.325975,15.2256666667,0.0794232906
2457611.3270749,15.038,0.0624164961
2457611.32774484,15.0986666667,0.060430282
2457611.32863476,15.2213333333,0.0684097274
2457611.32951468,15.2186666667,0.0694190436
2457611.33061459,15.254,0.0694190436
2457611.33171449,15.2153333333,0.0904335897
2457611.33216445,15.1303333333,0.1056409872
2457611.33303437,15.1993333333,0.1015607762
2457611.33456423,15.274,0.0844098874
2457611.33566414,15.2113333333,0.0733950166
2457611.33676404,15.414,0.1124773519
2457611.33808392,15.3516666667,0.1134463462
2457611.33875386,15.2756666667,0.0914060242
2457611.33985376,15.1566666667,0.0794660542
2457611.34138363,14.9663333333,0.0656520145
2457611.34226355,15.1276666667,0.0785467109
2457611.34270351,15.2596666667,0.0834699644
2457611.34336345,15.1976666667,0.0974445896
2457611.34401339,14.904,0.0866915996
2457611.34466334,14.9813333333,0.1209463663
2457611.3461932,14.9833333333,0.1308390356
2457611.34794304,15.3246666667,0.1124759251
2457611.34926292,15.333,0.0944184369
2457611.35059281,15.2856666667,0.0934196711
2457611.35190269,15.4086666667,0.1163931202
2457611.35277261,15.363,0.1174888334
2457612.32180745,16.756,0.1580621502
2457612.32691699,16.799,0.1650526539
2457612.33032669,16.748,0.1750561148
2457612.33202654,16.4973333333,0.1330745205
2457612.33599619,16.9803333333,0.2100467646
2457612.33940588,17.1006666667,0.2440404339
2457612.34054578,17.2466666667,0.3000335642
2457612.34280558,16.827,0.2000495639
2457612.34507538,16.764,0.1700580294
2457612.34620528,16.9523333333,0.2070476596
2457613.19789056,16.904,0.1880522564
2457613.22628806,17.0073333333,0.1510310528
2457613.22794791,17.153,0.1730271046
2457613.23126762,17.1863333333,0.1800260507
2457613.23495729,17.362,0.2140219122
2457613.23790703,17.3876666667,0.2370253537
2457613.24086677,16.9876666667,0.1530392704
2457613.24289659,16.9213333333,0.1480316821
2457613.24455645,17.333,0.1960239244
2457613.24787615,17.283,0.2080288881
2457613.25137585,16.828,0.1370438553
2457613.20102029,17.0696666667,0.208033847
2457613.25432558,17.1523333333,0.1810261007
2457613.25746531,17.1983333333,0.1940309725
2457613.26078501,16.9693333333,0.1550304781
2457613.26281483,16.981,0.1530392704
2457613.26465467,17.088,0.1820330143
2457613.26797438,17.128,0.185032479
2457613.2711141,17.3886666667,0.2630269307
2457613.27407384,17.0576666667,0.2270434883
2457613.27739354,16.9583333333,0.2080472329
2457613.27942336,16.8943333333,0.1750404704
2457613.20452998,16.976,0.1760397728
2457613.28108321,16.7336666667,0.132045516
2457613.28440292,16.742,0.1530460111
2457613.28938248,16.6903333333,0.1520569181
2457613.29400207,16.877,0.1690416561
2457613.29768174,17.07,0.191036859
2457613.30119143,17.4933333333,0.2940239472
2457613.30414117,17.25,0.2330303977
2457613.30598101,17.2143333333,0.2150327452
2457613.30782084,17.453,0.2590270287
2457613.31113055,17.061,0.1880372346
2457613.20784969,17.028,0.165036415
2457613.31463024,17.1866666667,0.2270310144
2457613.31776996,17.24,0.2870345708
2457613.3207197,17.2843333333,0.3120319679
2457613.32385942,17.5826666667,0.3720264119
2457613.32717912,17.297,0.2910337629
2457613.33049883,16.9616666667,0.2300431369
2457613.33252865,16.4593333333,0.1620817229
2457613.3341885,17.2206666667,0.2820465602
2457613.33714824,16.7896666667,0.1790557147
2457613.34046794,17.074,0.2360418301
2457613.21300923,17.2156666667,0.1960304774
2457613.34378765,17.272,0.2950402836
2457613.34747732,17.408,0.3900339535
2457613.21798879,16.746,0.1310461497
2457613.21964865,16.8163333333,0.1360441777
2457613.22148848,16.716,0.1260476826
2457613.22444822,16.813,0.1310357925
2457615.22871246,17.9443333333,0.3630165902
2457615.23221215,17.21,0.2050295606
2457615.23553186,16.972,0.1780392863
2457615.24033144,17.2873333333,0.2070290915
2457615.245301,17.6026666667,0.2470189535
2457615.24844072,17.4586666667,0.2060225649
2457615.25010057,17.2723333333,0.1790259681
2457615.25213039,17.7593333333,0.2890161992
2457615.25526012,17.4806666667,0.2140217214
2457615.25839984,17.5163333333,0.2400195063
2457615.19900507,17.549,0.356027585
2457615.2633794,18.0326666667,0.4140145465
2457615.26836896,17.3993333333,0.2620270103
2457615.27149868,17.645,0.2940206127
2457615.27333852,17.7326666667,0.2970202767
2457615.27518836,17.143,0.1780262998
2457615.27684821,17.38,0.22703064
2457615.27850806,17.314,0.2160322002
2457615.28182777,17.8483333333,0.3610166821
2457615.28496749,17.863,0.3880181289
2457615.28810722,17.3513333333,0.2070227873
2457615.20214479,17.842,0.3630165902
2457615.29142692,17.372,0.2150280092
2457615.29456664,17.086,0.2010349928
2457615.29658647,17.2726666667,0.2300263479
2457615.29861629,17.0236666667,0.1500312081
2457615.30323588,17.077,0.1650283715
2457615.30655558,16.9963333333,0.1760397326
2457615.30821544,16.7676666667,0.1420489757
2457615.30987529,17.4086666667,0.2360198369
