Phase,BJD,JD,V,V_error
0.7590119593,2457615.20414462,2457615.20387,17.58,0.0691158448
0.7653484738,2457615.20461458,2457615.20434,17.677,0.0741687266
0.7719545077,2457615.20510453,2457615.20483,17.588,0.0691809222
0.7784258541,2457615.20558449,2457615.20531,17.629,0.0671863081
0.7848971942,2457615.20606445,2457615.20579,17.66,0.0711758386
0.7910988706,2457615.20652441,2457615.20625,17.774,0.0781600921
0.7974353851,2457615.20699437,2457615.20672,17.646,0.066121101
0.804041419,2457615.20748432,2457615.20721,17.562,0.066121101
0.8105127654,2457615.20796428,2457615.20769,17.516,0.0641950154
0.8167144417,2457615.20842424,2457615.20815,17.14,0.0452769257
0.8235902775,2457615.2089342,2457615.20866,17.566,0.0711758386
0.8299267857,2457615.20940416,2457615.20913,17.499,0.0681835757
0.8764392517,2457615.21285385,2457615.21258,17.761,0.0761051904
0.8826409343,2457615.21331381,2457615.21304,17.727,0.0771621669
0.9038074929,2457615.21488367,2457615.21461,17.848,0.0841486779
0.9100091693,2457615.21534363,2457615.21507,17.544,0.0641950154
0.9163456838,2457615.21581359,2457615.21554,17.701,0.0711125868
0.9229518558,2457615.21630355,2457615.21603,17.704,0.0771038261
0.929288364,2457615.21677351,2457615.2165,17.506,0.0622012862
0.9356248723,2457615.21724347,2457615.21697,17.699,0.0721734023
0.9425005762,2457615.21775342,2457615.21748,17.658,0.0691809222
0.9489719163,2457615.21823338,2457615.21796,17.707,0.0781600921
0.9553084245,2457615.21870334,2457615.21843,17.792,0.0811541743
0.9616449391,2457615.2191733,2457615.2189,17.354,0.057218878
0.9682509729,2457615.21966325,2457615.21939,17.532,0.066189123
0.9745874875,2457615.22013321,2457615.21986,17.588,0.0751664819
0.9807891638,2457615.22059317,2457615.22032,17.526,0.0812219182
0.9872605102,2457615.22107313,2457615.2208,17.502,0.0782304289
0.9937318503,2457615.22155309,2457615.22128,17.572,0.0882043083
1.0003378905,2457615.22204304,2457615.22177,17.451,0.0882779701
1.0134154026,2457615.22301296,2457615.22274,17.438,0.0952575456
1.0198867427,2457615.22349292,2457615.22322,17.506,0.0641248782
1.0260884254,2457615.22395288,2457615.22368,17.429,0.0541479455
1.0325596274,2457615.22443283,2457615.22416,17.454,0.0592114854
1.0390309738,2457615.22491279,2457615.22464,17.438,0.0602079729
1.0455023139,2457615.22539275,2457615.22512,17.632,0.0671863081
1.051973654,2457615.22587271,2457615.2256,17.561,0.0631268564
1.0581753366,2457615.22633267,2457615.22606,17.54,0.0611310069
1.0646465449,2457615.22681262,2457615.22654,17.355,0.0552268051
1.0713875488,2457615.22731258,2457615.22704,17.57,0.0641950154
1.077724057,2457615.22778254,2457615.22751,17.651,0.0721734023
1.084330229,2457615.2282725,2457615.228,17.526,0.0641950154
1.0906667373,2457615.22874246,2457615.22847,17.353,0.0542309875
1.0970031137,2457615.22921241,2457615.22894,17.406,0.061204575
1.1034744601,2457615.22969237,2457615.22942,17.489,0.066189123
1.1099458002,2457615.23017233,2457615.2299,17.422,0.0631981012
1.1164171403,2457615.23065229,2457615.23038,17.357,0.0662721661
1.1290900312,2457615.2315922,2457615.23132,17.258,0.0652763357
1.1359658607,2457615.23210216,2457615.23183,17.596,0.1002447006
1.1486388835,2457615.23304208,2457615.23277,17.257,0.0832946577
1.1551100917,2457615.23352203,2457615.23325,17.272,0.092347171
1.1617162638,2457615.23401199,2457615.23374,17.119,0.081394103
1.168052772,2457615.23448195,2457615.23421,17.264,0.090354856
1.1870623093,2457615.23589183,2457615.23562,17.343,0.0732461603
1.1936683431,2457615.23638178,2457615.23611,17.177,0.0481663783
1.2002745151,2457615.23687174,2457615.2366,17.23,0.0522398315
1.2067458615,2457615.2373517,2457615.23708,17.299,0.0562227712
1.2133518954,2457615.23784165,2457615.23757,17.342,0.0562227712
1.2196884099,2457615.23831161,2457615.23804,17.452,0.0602079729
1.2260249182,2457615.23878157,2457615.23851,17.392,0.0622012862
1.2323614264,2457615.23925153,2457615.23898,17.373,0.061204575
1.2389676047,2457615.23974149,2457615.23947,17.357,0.066189123
1.2516404893,2457615.2406814,2457615.24041,17.247,0.0632850693
1.2581118295,2457615.24116136,2457615.24089,17.524,0.0862090482
1.2649876652,2457615.24167132,2457615.2414,17.573,0.0931933474
1.2711893416,2457615.24213128,2457615.24186,17.434,0.0872811549
1.2776605499,2457615.24261123,2457615.24234,17.541,0.1052330746
1.28413189,2457615.24309119,2457615.24282,17.401,0.0963327566
1.2906032364,2457615.24357115,2457615.2433,17.611,0.1242577965
1.2968049127,2457615.24403111,2457615.24376,17.402,0.1033102125
1.3032762591,2457615.24451107,2457615.24424,17.504,0.1162755348
1.3097474611,2457615.24499102,2457615.24472,17.199,0.095336247
1.3162188075,2457615.24547098,2457615.2452,17.45,0.1253235812
1.3226901476,2457615.24595094,2457615.24568,17.539,0.1402889875
1.3550467227,2457615.24835073,2457615.24808,17.148,0.0874642784
1.3613832309,2457615.24882069,2457615.24855,17.427,0.0681835757
1.3740561156,2457615.2497606,2457615.24949,17.828,0.0811541743
1.3806622938,2457615.25025056,2457615.24998,17.563,0.0631981012
1.387133634,2457615.25073052,2457615.25046,17.663,0.0741687266
1.4066823544,2457615.25218039,2457615.25191,17.764,0.0811541743
1.4193553771,2457615.25312031,2457615.25285,17.62,0.0721734023
1.4258265791,2457615.25360026,2457615.25333,17.565,0.0671863081
1.4322979255,2457615.25408022,2457615.25381,17.805,0.0931343116
1.4384996019,2457615.25454018,2457615.25427,17.688,0.0751664819
1.4449709483,2457615.25502014,2457615.25475,17.562,0.0671863081
1.4514422884,2457615.2555001,2457615.25523,17.595,0.0691809222
1.4581831541,2457615.25600005,2457615.25573,17.826,0.0851469318
1.4645196687,2457615.25647001,2457615.2562,17.405,0.0582151183
1.4711258407,2457615.25695997,2457615.25669,17.725,0.0761642961
1.4774623489,2457615.25742993,2457615.25716,17.625,0.0681835757
1.4837987253,2457615.25789988,2457615.25763,17.737,0.0781600921
1.4901352398,2457615.25836984,2457615.2581,17.601,0.0741687266
1.4967414118,2457615.2588598,2457615.25859,17.676,0.0761642961
1.5030779201,2457615.25932976,2457615.25906,17.781,0.083150466
1.5094144283,2457615.25979972,2457615.25953,17.645,0.0721734023
1.5292328125,2457615.26126959,2457615.261,17.777,0.083150466
1.5354344951,2457615.26172955,2457615.26146,17.697,0.0761642961
1.5483770435,2457615.26268946,2457615.26242,17.516,0.0622012862
1.5547135517,2457615.26315942,2457615.26289,17.594,0.0781600921
1.5610500662,2457615.26362938,2457615.26336,17.645,0.0721734023
1.5673865745,2457615.26409934,2457615.26383,17.564,0.0681835757
1.5739926146,2457615.26458929,2457615.26432,17.658,0.0751664819
1.5803291229,2457615.26505925,2457615.26479,17.61,0.0711758386
1.5870701268,2457615.26555921,2457615.26529,17.58,0.0691809222
1.5936762988,2457615.26604917,2457615.26578,17.603,0.0711758386
1.6000126752,2457615.26651912,2457615.26625,17.66,0.0741687266
