BJD,JD,V,V_error
2454759.286366,2454759.2818,12.84,0.01
2454759.28704596,2454759.28248,12.789,0.012
2454759.28706596,2454759.2825,12.86,0.01
2454759.28786591,2454759.2833,12.88,0.01
2454759.28866586,2454759.2841,12.839,0.01
2454759.28866586,2454759.2841,12.89,0.01
2454759.28946581,2454759.2849,12.87,0.01
2454759.28988579,2454759.28532,12.834,0.013
2454759.29016577,2454759.2856,12.86,0.01
2454759.29096572,2454759.2864,12.89,0.01
2454759.29111572,2454759.28655,12.856,0.012
2454759.29234564,2454759.28778,12.818,0.017
2454759.29356557,2454759.289,12.84,0.015
2454759.29366556,2454759.2891,12.88,0.01
2454759.29446551,2454759.2899,12.88,0.01
2454759.29479549,2454759.29023,12.817,0.01
2454759.29526546,2454759.2907,12.87,0.01
2454759.29596542,2454759.2914,12.87,0.01
2454759.29602542,2454759.29146,12.815,0.012
2454759.29676537,2454759.2922,12.89,0.01
2454759.29726534,2454759.2927,12.844,0.014
2454759.29756532,2454759.293,12.88,0.01
2454759.29836528,2454759.2938,12.86,0.01
2454759.29848527,2454759.29392,12.852,0.009
2454759.29906523,2454759.2945,12.89,0.01
2454759.29971519,2454759.29515,12.839,0.006
2454759.29986519,2454759.2953,12.88,0.01
2454759.30066514,2454759.2961,12.89,0.01
2454759.3013151,2454759.29675,12.876,0.006
2454759.30146509,2454759.2969,12.88,0.01
2454759.30226504,2454759.2977,12.88,0.01
2454759.30255502,2454759.29799,12.857,0.008
2454759.30306499,2454759.2985,12.9,0.01
2454759.30376495,2454759.2992,12.87,0.01
2454759.30378495,2454759.29922,12.864,0.009
2454759.3045649,2454759.3,12.9,0.01
2454759.30501487,2454759.30045,12.866,0.006
2454759.3061648,2454759.3016,12.86,0.01
2454759.3062448,2454759.30168,12.868,0.016
2454759.30686476,2454759.3023,12.91,0.01
2454759.30748472,2454759.30292,12.861,0.018
2454759.30766471,2454759.3031,12.9,0.01
2454759.30846467,2454759.3039,12.9,0.01
2454759.30870465,2454759.30414,12.843,0.016
2454759.30926462,2454759.3047,12.91,0.01
2454759.30993458,2454759.30537,12.855,0.014
2454759.31006457,2454759.3055,12.9,0.01
2454759.31086452,2454759.3063,12.92,0.01
2454759.31156448,2454759.307,12.875,0.015
2454759.31156448,2454759.307,12.9,0.01
2454759.31236443,2454759.3078,12.88,0.01
2454759.3128044,2454759.30824,12.862,0.009
2454759.31316438,2454759.3086,12.9,0.01
2454759.31396433,2454759.3094,12.9,0.01
2454759.31403433,2454759.30947,12.867,0.004
2454759.31476428,2454759.3102,12.9,0.01
2454759.31525426,2454759.31069,12.863,0.019
2454759.31546424,2454759.3109,12.89,0.01
2454759.31626419,2454759.3117,12.9,0.01
2454759.31706415,2454759.3125,12.92,0.01
2454759.3178641,2454759.3133,12.92,0.01
2454759.31856405,2454759.314,12.9,0.01
2454759.32016396,2454759.3156,12.9,0.01
2454759.32096391,2454759.3164,12.91,0.01
2454759.32176386,2454759.3172,12.9,0.01
2454759.32256381,2454759.318,12.93,0.01
