Phase,BJD,V,V_error
0.392060831189156,2458002.27691479,12.5695,0.0270878201415
0.400894169695675,2458002.27744479,12.6365,0.0281957443618
0.409310997463763,2458002.2779498,12.555,0.0276721882092
0.417811000099391,2458002.2784598,12.6015,0.026664583249
0.426477670669556,2458002.2789798,12.6135,0.0258795285979
0.434977665543556,2458002.2794898,12.616,0.0252487623254
0.443560998266548,2458002.2800048,12.634,0.0242022726196
0.452227668836713,2458002.2805248,12.6125,0.026575364548
0.460811001559705,2458002.2810398,12.618,0.0255880831506
0.469227666346342,2458002.2815448,12.6395,0.0256076160613
0.478061004852862,2458002.2820748,12.586,0.0269768419415
0.486477669639498,2458002.2825798,12.5615,0.0262392835338
0.494977835255668,2458002.28308981,12.5385,0.0280178514435
0.503727835914106,2458002.28361481,12.616,0.0260863949156
0.512061170613379,2458002.28411481,12.6565,0.0252388589317
0.520727833422825,2458002.28463481,12.671,0.0234414163469
0.529394503993899,2458002.28515481,12.642,0.0244897937937
0.537977836715982,2458002.28566981,12.5715,0.0287228132334
0.546477831589982,2458002.28617981,12.6095,0.0276902509999
0.55522783224842,2458002.28670481,12.6235,0.0274271762866
0.563561166947693,2458002.28720481,12.7045,0.025278449336
0.5765613357853,2458002.28798482,12.6955,0.0242229230266
0.606727999324903,2458002.28979482,12.5635,0.0289309522652
0.615061334024176,2458002.29029482,12.566,0.0283681158977
0.623644666746259,2458002.29080982,12.5425,0.0266364411992
0.632394667404697,2458002.29133482,12.6055,0.0244540385307
0.645144838219494,2458002.29209983,12.634,0.0237960080645
0.65381150102894,2458002.29261983,12.6315,0.0252140833908
0.662228165815577,2458002.29312483,12.6545,0.0235053185549
0.67081149853766,2458002.29363983,12.5985,0.025149552682
0.68164483675173,2458002.29428983,12.619,0.0244897938071
0.694478166910812,2458002.29505983,12.652,0.0233719918012
0.705311497363255,2458002.29570983,12.6675,0.02344141635
0.714061498021692,2458002.29623483,12.652,0.0223383079128
0.722311665615052,2458002.29672984,12.689,0.0223383079128
0.731061666272581,2458002.29725484,12.644,0.0237854998024
0.739644998995573,2458002.29776984,12.7245,0.0221302959887
0.748145001630292,2458002.29827984,12.6065,0.0298998327728
0.759145000018179,2458002.29893984,12.6255,0.0248495472907
0.769645002360448,2458002.29956984,12.6855,0.023521266978
0.780395002725527,2458002.30021484,12.6525,0.0245051014965
0.791311671026051,2458002.30086984,12.6535,0.0295381109834
0.806228501722217,2458002.30176485,12.6775,0.0286836190021
0.817061832174659,2458002.30241485,12.648,0.0282754310343
0.825395166873932,2458002.30291485,12.6915,0.025734218482
0.834061837445006,2458002.30343485,12.644,0.0300998338932
0.842645170167089,2458002.30394985,12.581,0.0440170421748
0.859895165699527,2458002.30498485,12.678,0.0249699819579
0.868561836270601,2458002.30550485,12.7325,0.0341979531444
0.876811833120883,2458002.30599985,12.617,0.0333166625053
0.898478664768845,2458002.30729986,12.692,0.0302778797177
0.91139533277601,2458002.30807486,12.724,0.0245560583219
0.926312000490725,2458002.30896986,12.6975,0.0245560583219
0.949728670841068,2458002.31037486,12.6895,0.0212896688662
0.958395333650515,2458002.31089486,12.6775,0.0239739441856
0.971312001658589,2458002.31166986,12.694,0.0232432785937
0.982062165005118,2458002.31231487,12.654,0.0231354706028
0.992895503218278,2458002.31296487,12.7025,0.0228309001209
1.00347883564791,2458002.31359987,12.6725,0.0236907154878
1.01431216610035,2458002.31424987,12.498,0.0406632512002
1.02281216873507,2458002.31475987,12.704,0.0276179289366
1.03139550145715,2458002.31527487,12.661,0.0224944437629
1.04006216426751,2458002.31579487,12.6405,0.0227486263265
1.04864550475031,2458002.31630987,12.616,0.0241194941819
1.06139550482294,2458002.31707487,12.5855,0.0282621654944
1.07014566846192,2458002.31759988,12.6025,0.0395063286084
1.07839566531311,2458002.31809488,12.557,0.0327146756261
1.08722900381963,2458002.31862488,12.689,0.0276179289802
1.0998123359559,2458002.31937988,12.703,0.024784067471
1.10847899876535,2458002.31989988,12.691,0.0307774267952
1.12156233470887,2458002.32068488,12.5935,0.0338600058935
1.13422900469413,2458002.32144488,12.7375,0.0242796210914
1.14706233485322,2458002.32221488,12.691,0.0261772802325
1.15997916584274,2458002.32298989,12.7485,0.0231732604696
1.16872916650027,2458002.32351489,12.745,0.0366674242402
1.17697917111218,2458002.32400989,12.763,0.0239060661574
1.1857291640099,2458002.32453489,12.7465,0.0265471279091
1.1943125044927,2458002.32504989,12.6945,0.0267675176559
1.2028124993667,2458002.32555989,12.6905,0.0329772649164
1.21139583208969,2458002.32607489,12.6825,0.0308625987045
1.22006250265986,2458002.32659489,12.82,0.0232862620465
1.23064583508949,2458002.32722989,12.76,0.0268467875205
1.24164600422046,2458002.3278899,12.734,0.0242022726196
1.24989600107074,2458002.3283849,12.767,0.0268048502999
1.25856266388109,2458002.3289049,12.789,0.0230759615226
