BJD,JD,V,V_error
2454889.98738571,2454889.98616,15.85,0.09
2454889.99579548,2454889.99457,15.86,0.09
2454890.00421524,2454890.00299,15.82,0.09
2454890.01262501,2454890.0114,15.79,0.09
2454838.0479661,2454838.04563,16.89,0.11
2454838.06103597,2454838.0587,16.57,0.1
2454838.07411583,2454838.07178,16.88,0.11
2454838.0871557,2454838.08482,17.02,0.12
2454917.95533558,2454917.95493,17.33,0.14
2454917.9617754,2454917.96137,17.64,0.16
2454917.96821522,2454917.96781,17.49,0.15
2454917.97465503,2454917.97425,17.72,0.16
2454966.85222125,2454966.85295,16.66,0.13
2454966.85726118,2454966.85799,16.34,0.11
2454966.86230111,2454966.86303,16.44,0.12
2454966.86735104,2454966.86808,16.54,0.12
2455152.23198721,2455152.22975,14.21,0.06
2455152.23675728,2455152.23452,14.2,0.06
2455152.24154735,2455152.23931,14.2,0.06
2455152.24632743,2455152.24409,14.25,0.06
2455121.22404809,2455121.22245,17.41,0.13
2455121.23257832,2455121.23098,17.38,0.13
2455121.24116854,2455121.23957,17.63,0.15
2455121.24973876,2455121.24814,17.43,0.13
2455102.17223482,2455102.17116,17.39,0.14
2455102.18500519,2455102.18393,17.18,0.13
2455102.19784556,2455102.19677,17.29,0.15
2455102.21074594,2455102.20967,17.18,0.14
2455304.91239391,2455304.91258,17.11,0.14
2455543.10412839,2455543.10168,17.22,0.17
2455543.13291847,2455543.13047,17.32,0.17
2455562.15835045,2455562.15596,17.27,0.12
2455562.20343013,2455562.20104,17,0.11
2455237.02348131,2455237.02177,17.04,0.13
2455268.97832108,2455268.9775,17.03,0.13
2455331.86200127,2455331.86273,16.97,0.15
2455331.87489109,2455331.87562,16.76,0.14
2455677.8807987,2455677.88117,17.05,0.11
2455677.90657814,2455677.90695,16.7,0.11
2455593.05736128,2455593.05544,16.87,0.11
2455626.9229026,2455626.92187,17.31,0.17
2455626.94440199,2455626.94337,17.26,0.17
2455869.13019206,2455869.1282,17.39,0.12
2455869.14302232,2455869.14103,17.47,0.13
2455869.15593259,2455869.15394,17.44,0.13
2455869.16890285,2455869.16691,17.5,0.13
2455909.03219612,2455909.02975,14.08,0.06
2455909.04602615,2455909.04358,14.08,0.06
2455909.05991618,2455909.05747,14.03,0.06
2455909.07383621,2455909.07139,13.96,0.06
2455972.00204158,2455972.00045,16.92,0.11
2455972.01207133,2455972.01048,16.91,0.11
2455972.02221108,2455972.02062,16.82,0.11
2455972.03240082,2455972.03081,17.3,0.13
2456046.86901506,2456046.86947,17.43,0.13
2456046.87746489,2456046.87792,17.43,0.13
2456046.88590472,2456046.88636,17.65,0.14
2456046.89435455,2456046.89481,17.64,0.14
2456236.18164749,2456236.17961,17.42,0.12
2456236.19457775,2456236.19254,17.37,0.12
2456236.20750801,2456236.20547,17.62,0.13
2456236.22047827,2456236.21844,17.77,0.14
2456275.02697736,2456275.02452,17.48,0.15
2456275.03775738,2456275.0353,17.3,0.16
2456275.04853739,2456275.04608,17.5,0.15
2456275.05941741,2456275.05696,17.37,0.16
2456378.92276793,2456378.92236,17.37,0.12
2456378.93122769,2456378.93082,17.12,0.11
2456378.93974745,2456378.93934,17.16,0.11
2456378.94826721,2456378.94786,17.05,0.1
2456410.90756207,2456410.90798,17.32,0.11
2456410.91462193,2456410.91504,17.34,0.11
2456410.92096179,2456410.92138,17.14,0.11
2456410.92775165,2456410.92817,17.22,0.11
2455237.03017116,2455237.02846,17.09,0.13
2455237.036771,2455237.03506,17.24,0.14
2455237.04346084,2455237.04175,17.19,0.14
2455304.91711379,2455304.9173,17.13,0.14
2455304.92186368,2455304.92205,16.95,0.13
2455304.92662357,2455304.92681,16.93,0.13
2455331.86634121,2455331.86707,16.99,0.16
2455331.87065115,2455331.87138,16.86,0.15
2455543.11360842,2455543.11116,17,0.15
2455543.12326844,2455543.12082,17.11,0.16
2455562.17327035,2455562.17088,17.29,0.12
2455562.18832024,2455562.18593,17.46,0.13
