BJD,JD,V,V_error
2457811.26086291,2457811.25959,17.2186666667,0.0321397916
2457811.26098291,2457811.25971,17.2426666667,0.0322874392
2457811.2611029,2457811.25983,17.2243333333,0.0312043076
2457811.2612129,2457811.25994,17.313,0.0359911517
2457811.2613329,2457811.26006,17.2433333333,0.0321397916
2457811.26144289,2457811.26017,17.1976666667,0.0340729541
2457811.26156289,2457811.26029,17.249,0.0350672042
2457811.26168289,2457811.26041,17.235,0.0303748393
2457811.26179289,2457811.26052,17.1803333333,0.0330668551
2457811.26191288,2457811.26064,17.188,0.0321270474
2457811.26202288,2457811.26075,17.193,0.0330811578
2457811.26214288,2457811.26087,17.1056666667,0.0282417754
2457811.26226287,2457811.26099,17.1516666667,0.0301465372
2457811.26237287,2457811.2611,17.163,0.0301595404
2457811.26249286,2457811.26122,17.067,0.027142576
2457811.26260286,2457811.26133,17.1433333333,0.0293320268
2457811.26272286,2457811.26145,17.0713333333,0.0271720929
2457811.26284285,2457811.26157,17.1096666667,0.0272729482
2457811.26295285,2457811.26168,17.2003333333,0.0309833845
2457811.26307285,2457811.2618,17.249,0.0310971394
2457811.26318284,2457811.26191,17.2243333333,0.0300585996
2457811.26330284,2457811.26203,17.324,0.0320873477
2457811.26341284,2457811.26214,17.3616666667,0.0338723281
2457811.26353284,2457811.26226,17.3043333333,0.0319526229
2457811.26365283,2457811.26238,17.38,0.0329237014
2457811.26376283,2457811.26249,17.3136666667,0.03291077
2457811.26388283,2457811.26261,17.3033333333,0.0309954744
2457811.26399282,2457811.26272,17.448,0.0348815056
2457811.26411282,2457811.26284,17.4023333333,0.0348815056
2457811.26423281,2457811.26296,17.3683333333,0.03095698
2457811.26434281,2457811.26307,17.343,0.031915283
2457811.26446281,2457811.26319,17.374,0.0309333286
2457811.26457281,2457811.2633,17.4206666667,0.0319308006
2457811.2646928,2457811.26342,17.377,0.0317796524
2457811.2648128,2457811.26354,17.311,0.0280065159
2457811.2649228,2457811.26365,17.3583333333,0.0299764122
2457811.26504279,2457811.26377,17.4746666667,0.0359452971
2457811.26515279,2457811.26388,17.464,0.0368012854
2457811.26527278,2457811.264,17.4213333333,0.0318804788
2457811.26538278,2457811.26411,17.305,0.0288868861
2457811.26550278,2457811.26423,17.3033333333,0.0309954744
2457811.26562278,2457811.26435,17.2576666667,0.0279314636
2457811.26573277,2457811.26446,17.3556666667,0.0299274199
2457811.26585277,2457811.26458,17.3903333333,0.0299274199
2457811.26596277,2457811.26469,17.2566666667,0.0299644926
2457811.26608276,2457811.26481,17.389,0.0298458133
2457811.26620276,2457811.26493,17.3593333333,0.0308294046
2457811.26631276,2457811.26504,17.321,0.0289594624
2457811.26643275,2457811.26516,17.3553333333,0.0298319678
2457811.26654275,2457811.26527,17.3336666667,0.0317577111
2457811.26666275,2457811.26539,17.434,0.0288366471
2457811.26678274,2457811.26551,17.3983333333,0.0308183804
2457811.26689274,2457811.26562,17.362,0.0288366471
2457811.26701274,2457811.26574,17.3673333333,0.0309089781
2457811.26712273,2457811.26585,17.3903333333,0.0299274199
2457811.26724273,2457811.26597,17.3636666667,0.0278297742
2457811.26736273,2457811.26609,17.462,0.029797776
2457811.26747272,2457811.2662,17.4536666667,0.02978754
2457811.26759272,2457811.26632,17.414,0.0307823361
2457811.26770272,2457811.26643,17.373,0.0287897823
2457811.26782271,2457811.26655,17.364,0.0278181877
2457811.26793271,2457811.26666,17.3286666667,0.0278666865
2457811.2681727,2457811.2669,17.3316666667,0.0278072231
2457811.2682827,2457811.26701,17.3116666667,0.026952777
2457811.2684027,2457811.26713,17.303,0.0258939439
2457811.26851269,2457811.26724,17.336,0.028800978
2457811.26863269,2457811.26736,17.322,0.0297740883
2457811.26875269,2457811.26748,17.3013333333,0.0257983441
2457811.26886268,2457811.26759,17.3223333333,0.0258814908
2457811.26898268,2457811.26771,17.3266666667,0.0268755937
2457811.26909268,2457811.26782,17.3303333333,0.0268989259
2457811.26921267,2457811.26794,17.3346666667,0.0249298282
2457811.26933267,2457811.26806,17.284,0.0259336117
2457811.26944267,2457811.26817,17.3423333333,0.0278666865
2457811.26956266,2457811.26829,17.259,0.024958114
2457811.26967266,2457811.2684,17.2553333333,0.0259211777
2457811.26979266,2457811.26852,17.251,0.0258939439
2457811.26990265,2457811.26863,17.26,0.0268733316
2457811.27002265,2457811.26875,17.3196666667,0.0278181877
2457811.27014265,2457811.26887,17.2953333333,0.0249168932
2457811.27025264,2457811.26898,17.2683333333,0.0257335806
