Phase,BJD,JD,V,V_error
0.413678996,2457610.20934331,2457610.20863,13.953,0.0094339811
0.4177235192,2457610.20964328,2457610.20893,13.976,0.0094339811
0.421902868,2457610.20995325,2457610.20924,13.942,0.0094339811
0.426082355,2457610.21026323,2457610.20955,13.941,0.0094339811
0.4302617101,2457610.2105732,2457610.20986,13.963,0.0089442719
0.4344410589,2457610.21088317,2457610.21017,13.967,0.0086023253
0.438485714,2457610.21118315,2457610.21047,13.946,0.0089442719
0.4426650691,2457610.21149312,2457610.21078,13.962,0.0080622577
0.4467095923,2457610.21179309,2457610.21108,13.953,0.0094339811
0.4506194155,2457610.21208307,2457610.21137,13.946,0.0080622577
0.4546639387,2457610.21238304,2457610.21167,13.973,0.0080622577
0.4587084557,2457610.21268301,2457610.21197,13.954,0.0080622577
0.4630227745,2457610.21300299,2457610.21229,13.963,0.0080622577
0.4672021296,2457610.21331296,2457610.2126,13.947,0.0080622577
0.4712466465,2457610.21361293,2457610.2129,13.939,0.0080622577
0.4754260016,2457610.2139229,2457610.21321,13.949,0.0080622577
0.4796054886,2457610.21423288,2457610.21352,13.973,0.0080622577
0.4837848374,2457610.21454285,2457610.21383,13.958,0.0080622577
0.4878293606,2457610.21484282,2457610.21413,13.944,0.0080622577
0.4917391838,2457610.2151328,2457610.21442,13.952,0.0080622577
0.495783707,2457610.21543277,2457610.21472,13.946,0.0080622577
0.499828224,2457610.21573274,2457610.21502,13.965,0.0080622577
0.5040077109,2457610.21604272,2457610.21533,13.969,0.0080622577
0.5085915554,2457610.21638269,2457610.21567,13.954,0.0080622577
0.5123664149,2457610.21666266,2457610.21595,13.943,0.0080622577
0.5165459018,2457610.21697264,2457610.21626,13.961,0.0080622577
0.5207252569,2457610.21728261,2457610.21657,13.951,0.0080622577
0.5247697801,2457610.21758258,2457610.21687,13.977,0.0080622577
0.5288142971,2457610.21788255,2457610.21717,13.991,0.0080622577
0.5327241265,2457610.21817253,2457610.21746,13.956,0.0080622577
0.5367686435,2457610.2184725,2457610.21776,13.969,0.0080622577
0.5409481304,2457610.21878248,2457610.21807,13.962,0.0080622577
0.5449926537,2457610.21908245,2457610.21837,13.946,0.0072111026
0.5494416662,2457610.21941242,2457610.2187,13.961,0.0080622577
0.5534861895,2457610.21971239,2457610.219,13.964,0.0080622577
0.5575308445,2457610.22001237,2457610.2193,13.957,0.0080622577
0.5617101934,2457610.22032234,2457610.21961,13.948,0.0080622577
0.5657547166,2457610.22062231,2457610.21991,13.967,0.0080622577
0.5697993717,2457610.22092229,2457610.22021,13.962,0.0080622577
0.5741135586,2457610.22124226,2457610.22053,13.978,0.0080622577
0.5780232437,2457610.22153223,2457610.22082,13.968,0.0072111026
0.582067905,2457610.22183221,2457610.22112,13.955,0.0080622577
0.586112422,2457610.22213218,2457610.22142,13.975,0.0080622577
0.590426609,2457610.22245215,2457610.22174,13.969,0.0080622577
0.5944711259,2457610.22275212,2457610.22204,13.98,0.0080622577
0.598515781,2457610.2230521,2457610.22234,13.957,0.0080622577
0.602829968,2457610.22337207,2457610.22266,13.972,0.0080622577
0.6070093168,2457610.22368204,2457610.22297,13.962,0.0072111026
0.6110539719,2457610.22398202,2457610.22327,13.969,0.0080622577
0.6150984951,2457610.22428199,2457610.22357,13.963,0.0072111026
0.6190083183,2457610.22457197,2457610.22386,13.967,0.0080622577
0.6230528415,2457610.22487194,2457610.22416,13.953,0.0080622577
0.6270973647,2457610.22517191,2457610.22446,13.989,0.0080622577
0.6315463773,2457610.22550188,2457610.22479,13.949,0.0080622577
0.6355910324,2457610.22580186,2457610.22509,13.961,0.0072111026
0.6397703875,2457610.22611183,2457610.2254,13.978,0.0080622577
0.6438149044,2457610.2264118,2457610.2257,13.988,0.0080622577
0.6479942595,2457610.22672177,2457610.22601,13.943,0.0094339811
0.6520389146,2457610.22702175,2457610.22631,14.018,0.0086023253
0.6560834378,2457610.22732172,2457610.22661,13.964,0.0089442719
0.659993261,2457610.2276117,2457610.2269,14.004,0.0086023253
0.6640377842,2457610.22791167,2457610.2272,13.973,0.0080622577
0.668217133,2457610.22822164,2457610.22751,13.963,0.0080622577
0.6728009775,2457610.22856161,2457610.22785,13.969,0.0080622577
0.6767108007,2457610.22885159,2457610.22814,13.957,0.0080622577
0.6807553239,2457610.22915156,2457610.22844,13.944,0.0080622577
0.6847998471,2457610.22945153,2457610.22874,13.981,0.0080622577
0.689114166,2457610.22977151,2457610.22906,13.972,0.0086023253
0.6931586829,2457610.23007148,2457610.22936,13.979,0.0080622577
0.6972032061,2457610.23037145,2457610.22966,13.965,0.0080622577
0.7011130293,2457610.23066143,2457610.22995,13.961,0.0080622577
0.7052923844,2457610.2309714,2457610.23026,13.988,0.0086023253
0.7093369014,2457610.23127137,2457610.23056,13.978,0.0080622577
0.7139207458,2457610.23161134,2457610.2309,13.972,0.0080622577
0.7178305753,2457610.23190132,2457610.23119,13.988,0.0080622577
0.7218750922,2457610.23220129,2457610.23149,13.99,0.0080622577
0.7259197473,2457610.23250127,2457610.23179,13.961,0.0080622577
0.7300991024,2457610.23281124,2457610.2321,14.011,0.0080622577
0.7341436256,2457610.23311121,2457610.2324,13.971,0.0080622577
0.7383229745,2457610.23342118,2457610.23271,13.951,0.0080622577
0.7425024614,2457610.23373116,2457610.23302,13.963,0.0080622577
0.7462773209,2457610.23401113,2457610.2333,13.966,0.0080622577
0.750456676,2457610.2343211,2457610.23361,13.971,0.0080622577
0.7549058204,2457610.23465108,2457610.23394,13.977,0.0094339811
0.7588155118,2457610.23494105,2457610.23423,13.978,0.0094339811
0.762860035,2457610.23524102,2457610.23453,14.006,0.0102956301
0.76690469,2457610.235541,2457610.23483,13.971,0.0102956301
0.7710840389,2457610.23585097,2457610.23514,13.992,0.0094339811
0.7753982258,2457610.23617094,2457610.23546,13.969,0.0094339811
0.7794427428,2457610.23647091,2457610.23576,13.985,0.0102956301
0.7834874041,2457610.23677089,2457610.23606,13.97,0.0102956301
