Phase,BJD,JD,V,V_error
1,2457605.20947298,2457605.20832,18.015,0.088141931
1.0040446551,2457605.20977296,2457605.20862,18.104,0.0891403388
1.0082240102,2457605.21008293,2457605.20893,18.074,0.0931343116
1.0122685334,2457605.2103829,2457605.20923,18.199,0.106117859
1.0163131885,2457605.21068288,2457605.20953,18.253,0.1161077086
1.0204925373,2457605.21099285,2457605.20984,18.298,0.122102416
1.0244022286,2457605.21128282,2457605.21013,18.127,0.1051189802
1.0284468837,2457605.2115828,2457605.21043,17.837,0.0791580697
1.0324914069,2457605.21188277,2457605.21073,18.438,0.1400892573
1.0570284674,2457605.21370261,2457605.21255,18.279,0.1361322886
1.0610731225,2457605.21400259,2457605.21285,18.252,0.1171067889
1.0653873032,2457605.21432256,2457605.21317,18.226,0.0870919055
1.0694318264,2457605.21462253,2457605.21347,18.156,0.0880908622
1.0734764815,2457605.21492251,2457605.21377,18.009,0.0721110255
1.0819700173,2457605.21555245,2457605.2144,18.201,0.0850940656
1.0941037125,2457605.21645237,2457605.2153,18.274,0.0930859818
1.0981482358,2457605.21675234,2457605.2156,18.029,0.0761051904
1.1021928908,2457605.21705232,2457605.2159,17.963,0.0691158448
1.1063722396,2457605.21736229,2457605.21621,18.03,0.0741080293
1.118640773,2457605.21827221,2457605.21712,18.032,0.0751065909
1.1309093002,2457605.21918213,2457605.21803,18.156,0.0880908622
1.1349539552,2457605.21948211,2457605.21833,18.123,0.0890898423
1.1389984784,2457605.21978208,2457605.21863,18.111,0.0910878697
1.1429081698,2457605.22007205,2457605.21892,18.054,0.0841486779
1.2521115901,2457605.22817134,2457605.22702,18.283,0.1321362933
1.2802888101,2457605.23026116,2457605.22911,17.908,0.0711125868
1.2844681589,2457605.23057113,2457605.22942,18.153,0.0890898423
1.2885126821,2457605.2308711,2457605.22972,17.924,0.0681175455
1.3064437025,2457605.23220099,2457605.23105,17.993,0.0811541743
1.3104882257,2457605.23250096,2457605.23135,18.027,0.0840951842
1.3145327426,2457605.23280093,2457605.23165,18.029,0.0821522976
1.3187122296,2457605.23311091,2457605.23196,17.792,0.0731710325
1.3227567528,2457605.23341088,2457605.23226,18.032,0.0801560977
1.326666576,2457605.23370086,2457605.23255,17.869,0.0801560977
1.3307110992,2457605.23400083,2457605.23285,17.806,0.0701783442
1.3570008235,2457605.23595066,2457605.2348,17.838,0.088141931
1.3610453467,2457605.23625063,2457605.2351,17.898,0.0851469318
1.3650898637,2457605.2365506,2457605.2354,17.542,0.0652763357
1.476045954,2457605.24477988,2457605.24363,18.013,0.0871435597
1.5438599423,2457605.24980944,2457605.24866,17.772,0.0851469318
1.5479044592,2457605.25010941,2457605.24896,17.85,0.0921954446
1.5522186462,2457605.25042938,2457605.24928,18.028,0.1071680923
1.5562633013,2457605.25072936,2457605.24958,17.758,0.0892020179
1.580530698,2457605.2525292,2457605.25138,18.191,0.147122398
1.5848448787,2457605.25284917,2457605.2517,18.003,0.1271927671
1.588889402,2457605.25314914,2457605.252,17.821,0.1142147101
1.6038544097,2457605.25425905,2457605.25311,17.963,0.1291897829
1.6118086243,2457605.25484899,2457605.2537,18.123,0.164195006
1.6240771514,2457605.25575891,2457605.25461,18.374,0.2311384866
1.6281218065,2457605.25605889,2457605.25491,18.274,0.220184014
1.6321663297,2457605.25635886,2457605.25521,17.944,0.1732339459
1.6360760211,2457605.25664883,2457605.2555,18.014,0.1782806776
1.6770610956,2457605.25968857,2457605.25854,18.332,0.1461232357
1.6811056126,2457605.25998854,2457605.25884,17.819,0.0842140131
1.685015442,2457605.26027852,2457605.25913,18.139,0.1201499064
1.689059959,2457605.26057849,2457605.25943,18.258,0.1331352696
1.6931044822,2457605.26087846,2457605.25973,18.055,0.1171537451
1.697283831,2457605.26118843,2457605.26004,17.981,0.1091650127
1.701463318,2457605.26149841,2457605.26035,18.304,0.1481215717
1.7299100698,2457605.26360822,2457605.26246,17.902,0.1132166066
1.7378644162,2457605.26419817,2457605.26305,18.325,0.177138364
1.7419089395,2457605.26449814,2457605.26335,18.119,0.1601530518
1.7544471303,2457605.26542806,2457605.26428,17.979,0.1391761474
1.7584917854,2457605.26572804,2457605.26458,17.864,0.127251719
1.7624014767,2457605.26601801,2457605.26487,18.062,0.1441700385
1.7664459937,2457605.26631798,2457605.26517,18.14,0.172185946
1.7746700039,2457605.26692793,2457605.26578,18.122,0.1901683465
1.8869741305,2457605.27525719,2457605.27411,18.256,0.0890898423
1.9155558398,2457605.27737701,2457605.27623,17.947,0.0711125868
1.9196003631,2457605.27767698,2457605.27653,18.567,0.1260634761
1.9508784274,2457605.27999678,2457605.27885,18.029,0.0771038261
1.9549229444,2457605.28029675,2457605.27915,18.196,0.0930859818
1.9589674676,2457605.28059672,2457605.27945,18.247,0.1181058847
1.9628772908,2457605.2808867,2457605.27974,18.048,0.0911372591
1.966921814,2457605.28118667,2457605.28004,18.104,0.0781024968
1.9709663372,2457605.28148664,2457605.28034,18.228,0.0890898423
1.9751458242,2457605.28179662,2457605.28065,18.005,0.079101201
1.9914588745,2457605.28300651,2457605.28186,18.088,0.0781024968
1.9955033915,2457605.28330648,2457605.28216,18.086,0.0870919055
1.9995480465,2457605.28360646,2457605.28246,18.227,0.0890898423
2.0270511133,2457605.28564628,2457605.2845,18.162,0.086092973
2.0310956366,2457605.28594625,2457605.2848,18.142,0.0870919055
2.0352749917,2457605.28625622,2457605.28511,18.235,0.0950841732
2.059677214,2457605.28806606,2457605.28692,18.06,0.0781600921
