BJD,JD,V,V_error
2454353.66060208,2454353.65466,17.15,0.09
2454353.66711206,2454353.66117,16.96,0.08
2454353.67359203,2454353.66765,17.08,0.08
2454353.68007201,2454353.67413,17.16,0.09
2454362.73346767,2454362.72763,17.07,0.09
2454362.74105753,2454362.73522,17.2,0.09
2454362.74754742,2454362.74171,17.26,0.09
2454362.7540673,2454362.74823,17.2,0.09
2454581.96691856,2454581.96946,16.92,0.1
2454581.96961875,2454581.97216,16.99,0.1
2454581.97224893,2454581.97479,17.03,0.1
2454581.97489911,2454581.97744,16.85,0.09
2454801.65220585,2454801.65097,17.29,0.09
2454801.66008514,2454801.65885,17.25,0.09
2454801.66795443,2454801.66672,17.3,0.09
2454801.67579372,2454801.67456,17.43,0.09
2454625.90649209,2454625.90547,17.51,0.1
2454625.91363272,2454625.91261,17.44,0.09
2454625.92078335,2454625.91976,17.46,0.09
2454625.92797398,2454625.92695,17.45,0.09
2454599.91016969,2454599.91137,17.39,0.1
2454776.57220505,2454776.56884,17.3,0.1
2454776.57842457,2454776.57506,17.25,0.1
2454776.58472408,2454776.58136,17.35,0.1
2454776.5910136,2454776.58765,17.34,0.1
2454765.66893767,2454765.66478,17.03,0.08
2454765.67746709,2454765.67331,17,0.08
2454765.68588652,2454765.68173,17.04,0.08
2454765.69449593,2454765.69034,17.07,0.08
2454731.80127602,2454731.79553,17.55,0.09
2454731.81901559,2454731.81327,17.4,0.09
2454731.82621541,2454731.82047,17.37,0.09
2454731.83345524,2454731.82771,17.31,0.09
2454737.70299991,2454737.69742,17.33,0.09
2454737.7096297,2454737.70405,17.38,0.09
2454737.71633948,2454737.71076,17.52,0.09
2454950.96736929,2454950.96965,17.23,0.1
2454950.97120957,2454950.97349,17.27,0.1
2454950.97501984,2454950.9773,17.32,0.1
2454950.97884011,2454950.98112,17.23,0.1
2455059.77337653,2455059.76777,17.26,0.08
2455059.78129678,2455059.77569,17.13,0.08
2455059.78917703,2455059.78357,17.13,0.08
2455059.79707728,2455059.79147,17.31,0.08
2455069.71908554,2455069.71324,16.77,0.09
2455069.72002555,2455069.71418,16.86,0.09
2455069.72101557,2455069.71517,16.81,0.09
2455069.72200559,2455069.71616,16.86,0.1
2455074.75482167,2455074.74891,17.08,0.1
2455074.75917171,2455074.75326,17.22,0.1
2455074.76354176,2455074.75763,17.17,0.1
2455074.7677818,2455074.76187,17.07,0.1
2454833.59278651,2454833.59433,17.41,0.09
2454833.60068586,2454833.60223,17.34,0.09
2454833.61649458,2454833.61804,17.4,0.09
2455043.75638888,2455043.75145,17.51,0.11
2455043.7623692,2455043.75743,17.56,0.11
2455043.76827951,2455043.76334,17.57,0.11
2455043.77398981,2455043.76905,17.47,0.11
2454984.90122777,2454984.90075,17.15,0.12
2454993.92482509,2454993.92356,16.98,0.09
2454993.92960551,2454993.92834,17.21,0.09
2454993.93427592,2454993.93301,17.17,0.09
2454993.93915635,2454993.93789,17.29,0.1
2455004.88445402,2455004.88225,17.19,0.09
2455004.89161463,2455004.88941,17.08,0.08
2455004.89882524,2455004.89662,17.22,0.09
2455004.90615585,2455004.90395,17.34,0.09
2455012.88313999,2455012.88028,17.44,0.12
2455012.88750034,2455012.88464,17.46,0.13
2455012.89183069,2455012.88897,17.04,0.13
2455144.66059742,2455144.65745,17.47,0.09
2455144.66785684,2455144.66471,17.52,0.1
2455144.67517625,2455144.67203,17.49,0.1
2455144.68250567,2455144.67936,17.53,0.1
2455155.59121869,2455155.58898,17.57,0.11
2455155.59703819,2455155.5948,17.59,0.11
2455155.60290768,2455155.60067,17.43,0.11
2455155.60879718,2455155.60656,17.49,0.11
2455123.63140526,2455123.62678,17.41,0.09
2455123.6374349,2455123.63281,17.48,0.1
2455123.64349455,2455123.63887,17.41,0.09
2455123.64956419,2455123.64494,17.49,0.1
2455085.8582343,2455085.85231,17.14,0.09
2455085.86297426,2455085.85705,17.08,0.09
2455085.86786422,2455085.86194,17.23,0.09
2455085.87273418,2455085.86681,17.28,0.09
2455091.70527674,2455091.69942,17.44,0.09
2455091.71255662,2455091.7067,17.44,0.09
2455091.71973651,2455091.71388,17.36,0.09
2455091.7270264,2455091.72117,17.24,0.09
2455099.66087281,2455099.65519,17.33,0.09
2455099.66745263,2455099.66177,17.33,0.09
2455099.67415245,2455099.66847,17.35,0.09
2455099.68073227,2455099.67505,17.35,0.09
2455536.57339522,2455536.57255,17.35,0.11
2455536.58332432,2455536.58248,17.47,0.11
2455536.58826387,2455536.58742,17.43,0.11
2455381.89702286,2455381.89387,17.24,0.09
2455381.90492348,2455381.90177,17.13,0.09
2455381.91270408,2455381.90955,16.94,0.08
2455381.9206047,2455381.91745,17.09,0.08
2455362.881843,2455362.88026,17.01,0.08
2455362.8922339,2455362.89065,17.07,0.08
2455362.90267481,2455362.90109,17.09,0.08
2455362.91314572,2455362.91156,16.86,0.08
2455320.95287945,2455320.95482,16.96,0.08
2455320.95987999,2455320.96182,16.96,0.08
2455320.96692052,2455320.96886,16.78,0.08
2455320.97388104,2455320.97582,17.07,0.08
2455336.92357569,2455336.92424,17.26,0.09
2455336.93110633,2455336.93177,17.21,0.09
2455336.93866697,2455336.93933,17.16,0.09
2455336.94619761,2455336.94686,17.26,0.09
2455501.66053733,2455501.65676,17.34,0.09
2455501.67650616,2455501.67273,17.43,0.09
2455501.68446558,2455501.68069,17.46,0.09
2455508.57754314,2455508.57429,17.4,0.09
2455508.59247197,2455508.58922,17.69,0.1
2455508.60002137,2455508.59677,17.36,0.09
2455481.61879479,2455481.61377,17.56,0.1
2455481.63365404,2455481.62863,17.44,0.09
2455481.64110367,2455481.63608,17.28,0.09
2455456.72582909,2455456.71997,17.39,0.1
2455456.73920888,2455456.73335,17.5,0.1
2455456.74593878,2455456.74008,17.38,0.1
2455717.89964591,2455717.89895,17.32,0.1
2455717.90900674,2455717.90831,17.49,0.1
2455717.91835756,2455717.91766,17.46,0.1
2455717.92775839,2455717.92706,17.58,0.1
2455724.88744573,2455724.88614,17.45,0.1
2455724.89501639,2455724.89371,17.37,0.09
2455724.90259706,2455724.90129,17.46,0.1
2455724.91009772,2455724.90879,17.47,0.1
2455701.94526961,2455701.94595,16.95,0.08
2455701.95043005,2455701.95111,16.85,0.08
2455701.95553048,2455701.95621,16.96,0.08
2455701.96070092,2455701.96138,16.96,0.08
2454737.72342925,2454737.71785,17.54,0.11
2454737.72882908,2454737.72325,17.57,0.11
2454737.7341489,2454737.72857,17.53,0.11
2454737.73949873,2454737.73392,17.41,0.1
2454737.74482855,2454737.73925,17.38,0.1
2455824.7319666,2455824.72615,17.42,0.09
2455824.73873647,2455824.73292,17.53,0.09
2455824.74549634,2455824.73968,17.23,0.09
2455824.75229621,2455824.74648,17.26,0.09
2455855.72208599,2455855.71755,17.43,0.09
2455855.73052547,2455855.72599,17.3,0.09
2455855.73906495,2455855.73453,17.41,0.09
2455855.74761442,2455855.74308,17.45,0.09
2455922.58816881,2455922.58915,17.2,0.08
2455922.59488824,2455922.59587,17.18,0.08
2455922.60165766,2455922.60264,17.25,0.08
2455922.60845708,2455922.60944,17.08,0.08
2456048.95083654,2456048.95295,17.11,0.1
2456048.95471683,2456048.95683,16.98,0.09
2456048.95864712,2456048.96076,17.13,0.1
2456048.9625174,2456048.96463,17.12,0.1
2456063.93233583,2456063.93328,16.96,0.08
2456063.93747626,2456063.93842,16.88,0.08
2456063.9426267,2456063.94357,17.16,0.09
2456063.94770712,2456063.94865,16.98,0.08
2456074.91990765,2456074.91992,16.49,0.07
2456074.9250781,2456074.92509,16.58,0.07
2456074.93029856,2456074.93031,16.57,0.07
2456074.935419,2456074.93543,16.65,0.08
2456093.86903711,2456093.8674,17.24,0.09
2456093.87593771,2456093.8743,17.26,0.09
2456093.8827583,2456093.88112,17.27,0.09
2456093.8895689,2456093.88793,17.19,0.09
2456100.86515277,2456100.86292,17.22,0.09
2456100.87195335,2456100.86972,17.23,0.09
2456100.87876393,2456100.87653,17.31,0.09
2456100.8855745,2456100.88334,17.33,0.09
2456165.67117402,2456165.6653,17.09,0.09
2456165.6757341,2456165.66986,17.17,0.09
2456165.68036418,2456165.67449,17.34,0.09
2456165.68489426,2456165.67902,16.49,0.07
2456187.78514829,2456187.77927,12.65,0.05
2456187.79243817,2456187.78656,12.6,0.05
2456187.79977805,2456187.7939,12.49,0.05
2456187.80714793,2456187.80127,12.35,0.05
2456193.65877635,2456193.65302,12.79,0.05
2456193.66288624,2456193.65713,12.69,0.05
2456193.66703614,2456193.66128,12.63,0.05
2456193.67117604,2456193.66542,12.63,0.05
2456204.77085957,2456204.76547,16.52,0.07
2456204.77810927,2456204.77272,16.57,0.08
2456204.78544897,2456204.78006,16.53,0.08
2456204.79274866,2456204.78736,16.4,0.07
2456216.69778945,2456216.69298,17.15,0.09
2456216.70279917,2456216.69799,16.88,0.08
2456216.70785889,2456216.70305,16.83,0.08
2456216.7129686,2456216.70816,16.95,0.08
2456223.57830489,2456223.57391,17,0.08
2456223.58219464,2456223.5778,17.06,0.08
2456223.58612439,2456223.58173,17.05,0.08
2456223.59016413,2456223.58577,16.95,0.08
2456309.57932169,2456309.58195,17.1,0.09
2456309.58437135,2456309.587,17.06,0.09
2456309.58990097,2456309.59253,17.05,0.09
2456309.59497062,2456309.5976,17,0.08
2456447.86854978,2456447.86787,17.02,0.09
2456447.8755204,2456447.87484,16.9,0.08
2456447.88261102,2456447.88193,17.07,0.09
2456447.88964165,2456447.88896,17.17,0.09
2456455.86973832,2456455.86836,17.21,0.09
2456455.87655892,2456455.87518,17.02,0.09
2456455.88343953,2456455.88206,16.91,0.08
2456455.89023012,2456455.88885,17.07,0.09
2456464.81692564,2456464.81478,17.02,0.09
2456464.82208608,2456464.81994,17.23,0.09
2456464.82715651,2456464.82501,17.18,0.09
2456464.83233696,2456464.83019,16.97,0.09
2456537.8177053,2456537.81174,17.04,0.09
2456537.82220533,2456537.81624,17.08,0.09
2456537.82666535,2456537.8207,17.11,0.09
2456537.83115538,2456537.82519,17.09,0.09
2456550.67597395,2456550.67005,17.13,0.09
2456550.68120389,2456550.67528,17.11,0.09
2456550.68634382,2456550.68042,17.01,0.09
2456550.69141376,2456550.68549,17.07,0.09
2456561.77076037,2456561.76507,17.1,0.08
2456561.77730018,2456561.77161,16.99,0.08
2456561.78383998,2456561.77815,16.95,0.08
2456561.79046979,2456561.78478,17.02,0.08
2456566.66243062,2456566.6569,17.08,0.08
2456566.66801042,2456566.66248,17.2,0.09
2456566.67358022,2456566.66805,17.23,0.09
2456566.67914002,2456566.67361,17.16,0.09
2456574.68125654,2456574.67606,17.23,0.09
2456574.6863363,2456574.68114,17.08,0.08
2456574.69138606,2456574.68619,17.01,0.08
2456574.69642583,2456574.69123,16.96,0.08
2456587.66470062,2456587.66022,17.17,0.09
2456587.67075024,2456587.66627,16.96,0.08
2456587.67678986,2456587.67231,16.85,0.08
2456587.68332945,2456587.67885,16.95,0.08
