BJD,V,V_error
2458002.27691479,12.5695,0.0270878201415
2458002.27744479,12.6365,0.0281957443618
2458002.2779498,12.555,0.0276721882092
2458002.2784598,12.6015,0.026664583249
2458002.2789798,12.6135,0.0258795285979
2458002.2794898,12.616,0.0252487623254
2458002.2800048,12.634,0.0242022726196
2458002.2805248,12.6125,0.026575364548
2458002.2810398,12.618,0.0255880831506
2458002.2815448,12.6395,0.0256076160613
2458002.2820748,12.586,0.0269768419415
2458002.2825798,12.5615,0.0262392835338
2458002.28308981,12.5385,0.0280178514435
2458002.28361481,12.616,0.0260863949156
2458002.28411481,12.6565,0.0252388589317
2458002.28463481,12.671,0.0234414163469
2458002.28515481,12.642,0.0244897937937
2458002.28566981,12.5715,0.0287228132334
2458002.28617981,12.6095,0.0276902509999
2458002.28670481,12.6235,0.0274271762866
2458002.28720481,12.7045,0.025278449336
2458002.28798482,12.6955,0.0242229230266
2458002.28979482,12.5635,0.0289309522652
2458002.29029482,12.566,0.0283681158977
2458002.29080982,12.5425,0.0266364411992
2458002.29133482,12.6055,0.0244540385307
2458002.29209983,12.634,0.0237960080645
2458002.29261983,12.6315,0.0252140833908
2458002.29312483,12.6545,0.0235053185549
2458002.29363983,12.5985,0.025149552682
2458002.29428983,12.619,0.0244897938071
2458002.29505983,12.652,0.0233719918012
2458002.29570983,12.6675,0.02344141635
2458002.29623483,12.652,0.0223383079128
2458002.29672984,12.689,0.0223383079128
2458002.29725484,12.644,0.0237854998024
2458002.29776984,12.7245,0.0221302959887
2458002.29827984,12.6065,0.0298998327728
2458002.29893984,12.6255,0.0248495472907
2458002.29956984,12.6855,0.023521266978
2458002.30021484,12.6525,0.0245051014965
2458002.30086984,12.6535,0.0295381109834
2458002.30176485,12.6775,0.0286836190021
2458002.30241485,12.648,0.0282754310343
2458002.30291485,12.6915,0.025734218482
2458002.30343485,12.644,0.0300998338932
2458002.30394985,12.581,0.0440170421748
2458002.30498485,12.678,0.0249699819579
2458002.30550485,12.7325,0.0341979531444
2458002.30599985,12.617,0.0333166625053
2458002.30729986,12.692,0.0302778797177
2458002.30807486,12.724,0.0245560583219
2458002.30896986,12.6975,0.0245560583219
2458002.31037486,12.6895,0.0212896688662
2458002.31089486,12.6775,0.0239739441856
2458002.31166986,12.694,0.0232432785937
2458002.31231487,12.654,0.0231354706028
2458002.31296487,12.7025,0.0228309001209
2458002.31359987,12.6725,0.0236907154878
2458002.31424987,12.498,0.0406632512002
2458002.31475987,12.704,0.0276179289366
2458002.31527487,12.661,0.0224944437629
2458002.31579487,12.6405,0.0227486263265
2458002.31630987,12.616,0.0241194941819
2458002.31707487,12.5855,0.0282621654944
2458002.31759988,12.6025,0.0395063286084
2458002.31809488,12.557,0.0327146756261
2458002.31862488,12.689,0.0276179289802
2458002.31937988,12.703,0.024784067471
2458002.31989988,12.691,0.0307774267952
2458002.32068488,12.5935,0.0338600058935
2458002.32144488,12.7375,0.0242796210914
2458002.32221488,12.691,0.0261772802325
2458002.32298989,12.7485,0.0231732604696
2458002.32351489,12.745,0.0366674242402
2458002.32400989,12.763,0.0239060661574
2458002.32453489,12.7465,0.0265471279091
2458002.32504989,12.6945,0.0267675176559
2458002.32555989,12.6905,0.0329772649164
2458002.32607489,12.6825,0.0308625987045
2458002.32659489,12.82,0.0232862620465
2458002.32722989,12.76,0.0268467875205
2458002.3278899,12.734,0.0242022726196
2458002.3283849,12.767,0.0268048502999
2458002.3289049,12.789,0.0230759615226
2458002.3294249,12.7775,0.0221528779204
2458002.3299299,12.666,0.0234414163469
2458002.3304499,12.65,0.0230922064773
2458002.3309749,12.6485,0.0234414163469
2458002.3314749,12.6955,0.0242641711131
2458002.3325199,12.676,0.0267348087816
2458002.3330149,12.652,0.0256466372211
2458002.3335449,12.582,0.0258795285808
2458002.33404991,12.5885,0.0258698666322
2458002.33455991,12.634,0.0242022726196
2458002.33507991,12.673,0.0241350367798
2458002.33560491,12.6105,0.0244795833232
2458002.33610491,12.61,0.0255880831506
2458002.33675991,12.564,0.0269351072039
2458002.33738991,12.625,0.023462736405
2458002.33803491,12.667,0.0226991189457
2458002.33867991,12.5975,0.0223383079128
2458002.33919491,12.599,0.023021728872
2458002.33971492,12.597,0.0219829479406
2458002.34021992,12.551,0.0233130864434
2458002.34073492,12.5885,0.0229619250157
2458002.34126492,12.5455,0.0218574929983
2458002.34176992,12.555,0.0215812418388
2458002.34227992,12.6355,0.0211601039733
2458002.34280492,12.634,0.0213131414742
2458002.34330492,12.583,0.0222766694294
2458002.34382492,12.5995,0.0212896688662
2458002.34434492,12.598,0.0223383079128
2458002.34485992,12.6145,0.022677080941
2458002.34536992,12.605,0.023021728872
2458002.34588993,12.6035,0.0237170824778
2458002.34639493,12.576,0.0237592087351
2458002.34690993,12.718,0.0216333076658
2458002.34743493,12.643,0.02344141635
2458002.34793493,12.6455,0.0251843205026
2458002.34845993,12.616,0.0258698666322
2458002.34896993,12.6435,0.0248294180272
2458002.34948493,12.6585,0.0233719918012
2458002.34999993,12.691,0.0235106358928
2458002.35052493,12.6305,0.0251197133797
