BJD,JD,V,V_error
2457430.030959,2457430.03019,17.632,0.03196
2458221.969361,2458221.96859,17.633,0.03198
2458250.908632,2458250.90786,17.635,0.03202
2457018.14547,2457018.1447,17.636,0.03204
2457600.784265,2457600.7835,17.637,0.03205
2457572.887746,2457572.88698,17.637,0.03205
2457400.11142,2457400.11065,17.638,0.03207
2456657.118962,2456657.11818,17.638,0.03207
2456862.829486,2456862.82871,17.639,0.03209
2457510.985107,2457510.98434,17.64,0.03211
2457465.035258,2457465.03449,17.644,0.03219
2457404.1437,2457404.14293,17.644,0.03219
2456889.744515,2456889.74374,17.646,0.03222
2457125.024737,2457125.02397,17.646,0.03222
2457069.061758,2457069.06099,17.647,0.03224
2457157.901096,2457157.90033,17.647,0.03224
2457506.826777,2457506.82601,17.648,0.03226
2457193.883795,2457193.88303,17.65,0.0323
2457929.911622,2457929.91085,17.65,0.0323
2457195.890945,2457195.89018,17.651,0.03232
2456833.880287,2456833.87951,17.651,0.03232
2456891.737655,2456891.73688,17.652,0.03234
2457487.985397,2457487.98463,17.652,0.03234
2456896.731185,2456896.73041,17.653,0.03235
2456856.820886,2456856.82011,17.654,0.03237
2457022.14606,2457022.14529,17.654,0.03237
2456881.771285,2456881.77051,17.659,0.03247
2457199.758605,2457199.75784,17.66,0.03249
2457824.026832,2457824.02606,17.66,0.03249
2457155.922606,2457155.92184,17.661,0.03251
2458220.970321,2458220.96955,17.664,0.03256
2457422.144839,2457422.14407,17.665,0.03258
2456832.857397,2456832.85662,17.669,0.03266
2457789.047823,2457789.04705,17.669,0.03266
2457454.001808,2457454.00104,17.67,0.03268
2456884.767655,2456884.76688,17.671,0.0327
2457819.964492,2457819.96372,17.674,0.03276
2457109.911317,2457109.91055,17.674,0.03276
2456866.806676,2456866.8059,17.674,0.03276
2457479.046877,2457479.04611,17.678,0.03283
2457242.785815,2457242.78504,17.68,0.03287
2457403.10161,2457403.10084,17.68,0.03287
2456882.768195,2456882.76742,17.681,0.03289
2456816.851068,2456816.85029,17.682,0.03291
2457457.961368,2457457.9606,17.684,0.03295
2458338.759703,2458338.75893,17.685,0.03297
2457104.015997,2457104.01523,17.698,0.03323
2457546.955187,2457546.95442,17.699,0.03325
2457493.032597,2457493.03183,17.702,0.03331
2457049.109569,2457049.1088,17.704,0.03335
2457123.117127,2457123.11636,17.704,0.03335
2457463.940418,2457463.93965,17.706,0.03339
2457166.760426,2457166.75966,17.706,0.03339
2457424.108629,2457424.10786,17.708,0.03343
2457113.020907,2457113.02014,17.708,0.03343
2457235.807895,2457235.80712,17.708,0.03343
2456855.847967,2456855.84719,17.715,0.03357
2457107.032337,2457107.03157,17.716,0.03359
2457850.064202,2457850.06343,17.717,0.03361
2458315.833423,2458315.83265,17.717,0.03361
2457835.032892,2457835.03212,17.719,0.03365
2457084.037098,2457084.03633,17.719,0.03365
2457051.109999,2457051.10923,17.721,0.03369
2457071.055278,2457071.05451,17.721,0.03369
2457538.956827,2457538.95606,17.721,0.03369
2457577.868156,2457577.86739,17.723,0.03373
2457762.117823,2457762.11705,17.723,0.03373
2457047.100319,2457047.09955,17.725,0.03377
2457450.083838,2457450.08307,17.726,0.03379
2457818.968102,2457818.96733,17.73,0.03387
2457756.144833,2457756.14406,17.732,0.03392
2457110.908517,2457110.90775,17.734,0.03396
2456741.90416,2456741.90338,17.734,0.03396
2456892.740225,2456892.73945,17.735,0.03398
2458269.950712,2458269.94994,17.736,0.034
2458290.858673,2458290.8579,17.756,0.03442
