Phase,BJD,V,V_error
3.72399883748403,2457998.51683107,12.318,0.014
3.74193233065307,2457998.51790708,12.34,0.014
3.75949916988611,2457998.51896109,12.344,0.014
3.7770491677029,2457998.52001409,12.371,0.014
3.79439933473895,2457998.5210551,12.365,0.014
3.81196616621128,2457998.52210911,12.385,0.014
3.82951616402715,2457998.52316211,12.38,0.014
3.8468830017373,2457998.52420412,12.382,0.014
3.86481650266796,2457998.52528013,12.39,0.014
3.88274983285646,2457998.52635613,12.398,0.014
3.90070000446121,2457998.52743314,12.404,0.014
3.91805017149727,2457998.52847415,12.425,0.014
3.93580017083696,2457998.52953915,12.44,0.014
3.95335033163428,2457998.53059216,12.442,0.014
3.97091717086732,2457998.53164617,12.446,0.014
3.98866717020701,2457998.53271117,12.458,0.014
4.00640066961478,2457998.53377518,12.443,0.014
4.02435083345881,2457998.53485219,12.45,0.014
4.04190083127469,2457998.53590519,12.463,0.014
4.05945099983364,2457998.5369582,12.473,0.014
4.0774011714384,2457998.53803521,12.467,0.014
4.09533450162689,2457998.53911121,12.485,0.014
4.11270133157632,2457998.54015322,12.472,0.014
4.13005149861237,2457998.54119423,12.474,0.014
4.14741816557944,2457998.54223623,12.489,0.014
4.16478500328958,2457998.54327824,12.491,0.014
4.18213517032564,2457998.54431925,12.498,0.014
4.19950183729361,2457998.54536125,12.465,0.014
4.21705199809185,2457998.54641426,12.478,0.014
4.23441866505891,2457998.54745626,12.503,0.014
4.25178550276905,2457998.54849827,12.506,0.014
4.26951900217682,2457998.54956228,12.492,0.014
4.28746900303941,2457998.55063928,12.492,0.014
4.30501917159836,2457998.55169229,12.499,0.014
4.3227693339195,2457998.5527573,12.508,0.014
4.34070266410708,2457998.5538333,12.494,0.014
4.35806950181723,2457998.55487531,12.513,0.014
4.37543633176665,2457998.55591732,12.498,0.014
4.39298633734416,2457998.55697032,12.499,0.014
4.41035316729358,2457998.55801233,12.499,0.014
4.42751983273774,2457998.55904233,12.504,0.014
4.44565333519131,2457998.56013034,12.501,0.014
4.46300350222737,2457998.56117135,12.505,0.014
4.48055350004415,2457998.56222435,12.501,0.014
4.49812033151648,2457998.56327836,12.48,0.014
4.51605383244714,2457998.56435437,12.456,0.014
4.53360383802465,2457998.56540737,12.45,0.014
4.55117066949606,2457998.56646138,12.418,0.014
4.56890399816166,2457998.56752538,12.422,0.014
4.5864708373947,2457998.56857939,12.433,0.014
4.60363766582123,2457998.5696094,12.398,0.014
4.62118767139873,2457998.5706624,12.386,0.014
