BJD,JD,V,V_error
2455911.6449785,2455911.64253,14.91,0.016
2455911.6474685,2455911.64502,14.877,0.016
2455911.6499485,2455911.6475,14.822,0.015
2455911.6524185,2455911.64997,14.858,0.015
2455911.6548685,2455911.65242,14.872,0.016
2455911.6572985,2455911.65485,14.866,0.015
2455911.6597385,2455911.65729,14.833,0.015
2455911.6621785,2455911.65973,14.891,0.017
2455911.6646085,2455911.66216,14.871,0.016
2455911.6670585,2455911.66461,14.908,0.017
2455911.6694985,2455911.66705,14.912,0.017
2455911.6719385,2455911.66949,14.975,0.017
2455911.6743785,2455911.67193,15.036,0.018
2455911.6771685,2455911.67472,14.998,0.019
2455911.6799485,2455911.6775,15.038,0.019
2455911.6827585,2455911.68031,15.002,0.018
2455911.6855785,2455911.68313,15.01,0.018
2455911.6884785,2455911.68603,14.986,0.018
2455912.54758848,2455912.54514,15.972,0.043
2455912.55078848,2455912.54834,15.961,0.044
2455912.55398848,2455912.55154,16.078,0.048
2455912.55720848,2455912.55476,16,0.045
2455912.56040848,2455912.55796,15.944,0.046
2455912.56361848,2455912.56117,16.007,0.045
2455912.56683848,2455912.56439,15.958,0.043
2455912.57007848,2455912.56763,15.899,0.041
2455912.57330847,2455912.57086,15.891,0.04
2455912.57653847,2455912.57409,15.962,0.044
2455912.57975847,2455912.57731,16.06,0.046
2455912.58298847,2455912.58054,15.952,0.043
2455912.58621847,2455912.58377,15.945,0.041
2455912.58947847,2455912.58703,16.007,0.046
2455912.59267847,2455912.59023,16.035,0.047
2455912.59589847,2455912.59345,16.098,0.046
2455912.59912847,2455912.59668,15.906,0.037
2455912.60234847,2455912.5999,15.817,0.038
2455912.60558847,2455912.60314,16.026,0.044
2455912.60881847,2455912.60637,15.927,0.04
2455912.61205846,2455912.60961,15.965,0.04
2455912.61528846,2455912.61284,16.065,0.043
2455912.61850846,2455912.61606,16.08,0.049
2455912.62184846,2455912.6194,16.087,0.051
2455912.62516846,2455912.62272,16.132,0.05
2455912.62967846,2455912.62723,16.175,0.053
2455912.63217846,2455912.62973,16.143,0.093
2455912.63466846,2455912.63222,15.92,0.04
2455912.63963846,2455912.63719,15.948,0.199
2455912.64212846,2455912.63968,15.911,0.094
2455912.65208845,2455912.64964,15.984,0.063
2455912.65453845,2455912.65209,16.147,0.052
2455912.65698845,2455912.65454,16.063,0.05
2455912.65943845,2455912.65699,16.156,0.051
2455912.66680845,2455912.66436,16.016,0.048
2455912.67126845,2455912.66882,15.885,0.042
2455912.67685844,2455912.67441,16.045,0.07
2455912.67966844,2455912.67722,16.106,0.139
2455912.68250844,2455912.68006,16.118,0.067
2455912.68540844,2455912.68296,16.019,0.049
2455912.71302843,2455912.71058,16.073,0.054
2455912.71525843,2455912.71281,16.207,0.079
2455912.71749843,2455912.71505,16.235,0.059
2455912.71972843,2455912.71728,16.186,0.055
2455912.72197843,2455912.71953,16.17,0.052
2455912.72422843,2455912.72178,16.042,0.054
2455912.72646843,2455912.72402,16.045,0.05
2455912.72869843,2455912.72625,16.109,0.053
2455912.73094843,2455912.7285,15.986,0.046
2455912.73319843,2455912.73075,15.983,0.047
2455912.73545843,2455912.73301,16.066,0.047
2455912.73769842,2455912.73525,16.28,0.062
2455912.73993842,2455912.73749,16.169,0.055
2455912.74219842,2455912.73975,16.068,0.054
2455912.74444842,2455912.742,16.058,0.052
2455912.74669842,2455912.74425,16.214,0.06
2455912.74894842,2455912.7465,16.192,0.058
2455912.75119842,2455912.74875,16.293,0.062
2455912.75471842,2455912.75227,16.348,0.063
2455912.75694842,2455912.7545,16.36,0.064
2455912.75919842,2455912.75675,16.283,0.063
2455912.76144842,2455912.759,16.135,0.054
2455912.76368842,2455912.76124,16.24,0.051
2455912.76594841,2455912.7635,16.101,0.055
2455912.76819841,2455912.76575,16.306,0.065
2455912.77046841,2455912.76802,16.184,0.059
2455912.77271841,2455912.77027,16.13,0.058
2455912.77497841,2455912.77253,15.975,0.043
2455912.77724841,2455912.7748,15.975,0.047
2455912.77951841,2455912.77707,15.986,0.048
2455912.78176841,2455912.77932,16.136,0.053
2455912.78401841,2455912.78157,16.112,0.051
2455912.78628841,2455912.78384,16.175,0.054
2455912.78855841,2455912.78611,16.063,0.054
2455912.7908284,2455912.78838,16.272,0.063
2455912.7930984,2455912.79065,16.149,0.053
2455912.7963684,2455912.79392,16.163,0.058
2455912.7986484,2455912.7962,16.069,0.057
2455912.8009084,2455912.79846,16.187,0.06
2455912.8031884,2455912.80074,16.301,0.064
2455912.8054584,2455912.80301,16.174,0.058
2455912.8077384,2455912.80529,16.064,0.053
2455912.8100184,2455912.80757,16.346,0.064
2455912.8122984,2455912.80985,16.265,0.062
2455912.8145784,2455912.81213,16.228,0.061
2455912.8168484,2455912.8144,16.203,0.059
2455912.81913839,2455912.81669,16.293,0.064
2455912.82140839,2455912.81896,16.215,0.064
2455912.82368839,2455912.82124,16.333,0.069
2455912.82597839,2455912.82353,16.346,0.063
2455912.82824839,2455912.8258,16.173,0.057
2455912.83052839,2455912.82808,16.287,0.066
2455912.83281839,2455912.83037,16.283,0.071
2455912.83510839,2455912.83266,16.308,0.072
2455912.83808839,2455912.83564,16.238,0.063
2455912.84035839,2455912.83791,16.056,0.055
2455912.84264838,2455912.8402,16.185,0.063
2455912.84491839,2455912.84247,16.301,0.065
2455912.84720838,2455912.84476,16.337,0.072
2455912.84949838,2455912.84705,16.282,0.066
2455912.85177838,2455912.84933,16.265,0.07
2455912.85404838,2455912.8516,16.373,0.077
2455912.85631838,2455912.85387,16.183,0.063
2455912.85860838,2455912.85616,16.189,0.07
2455912.86089838,2455912.85845,16.014,0.059
2455912.86318838,2455912.86074,16.228,0.081
2455913.6353879,2455913.63294,16.201,0.056
2455913.6378979,2455913.63545,16.103,0.153
2455913.6404079,2455913.63796,16.307,0.057
2455913.64291789,2455913.64047,16.207,0.05
2455913.64793789,2455913.64549,16.638,0.075
2455913.65041789,2455913.64797,16.483,0.066
2455913.65288789,2455913.65044,16.381,0.057
2455913.65535788,2455913.65291,16.178,0.052
