Phase,BJD,V,V_error
2.67527750289719,2457997.43390779,12.252,0.002
2.68144416995347,2457997.43427779,12.243,0.002
2.68727750113885,2457997.43462779,12.245,0.002
2.69311083232424,2457997.43497779,12.251,0.002
2.69911100218724,2457997.4353378,12.261,0.002
2.70511100130807,2457997.4356978,12.252,0.002
2.7111110004289,2457997.4360578,12.263,0.002
2.7171111702919,2457997.43641781,12.268,0.002
2.72311116941273,2457997.43677781,12.279,0.002
2.72911116853356,2457997.43713781,12.258,0.002
2.73511133063585,2457997.43749782,12.265,0.002
2.74094466958195,2457997.43784782,12.253,0.002
2.74694466870278,2457997.43820782,12.256,0.002
2.75294483080506,2457997.43856783,12.291,0.002
2.75894483768752,2457997.43892783,12.27,0.002
2.764778168872,2457997.43927783,12.267,0.002
2.77077833097428,2457997.43963784,12.27,0.002
2.77677833785674,2457997.43999784,12.271,0.002
2.78261166904122,2457997.44034784,12.263,0.002
2.78861166816205,2457997.44070784,12.25,0.002
2.79461183802596,2457997.44106785,12.246,0.002
2.80061183714679,2457997.44142785,12.26,0.002
2.80661183626762,2457997.44178785,12.255,0.002
2.8126119983699,2457997.44214786,12.257,0.002
2.81861199749073,2457997.44250786,12.267,0.002
2.82461200437228,2457997.44286786,12.27,0.002
2.83061200349312,2457997.44322786,12.264,0.002
2.83644549765995,2457997.44357787,12.28,0.002
2.8424455045415,2457997.44393787,12.269,0.002
2.84844550366233,2457997.44429787,12.252,0.002
2.85444566576462,2457997.44465788,12.282,0.002
2.86044566488545,2457997.44501788,12.282,0.002
2.86644566400628,2457997.44537788,12.273,0.002
2.87244583386928,2457997.44573789,12.271,0.002
2.87844583299011,2457997.44609789,12.27,0.002
2.88411250400077,2457997.44643789,12.279,0.002
2.8901125031216,2457997.44679789,12.293,0.002
2.89611266522388,2457997.4471579,12.295,0.002
2.90211266434471,2457997.4475179,12.273,0.002
2.90811267122626,2457997.4478779,12.27,0.002
2.91411283332855,2457997.44823791,12.294,0.002
2.92011283244938,2457997.44859791,12.292,0.002
2.92594617139548,2457997.44894791,12.281,0.002
2.93194633349776,2457997.44930792,12.255,0.002
2.93794633261859,2457997.44966792,12.266,0.002
2.94394633173943,2457997.45002792,12.271,0.002
2.94977967068553,2457997.45037792,12.253,0.002
2.95577983278781,2457997.45073793,12.238,0.002
2.96177983190864,2457997.45109793,12.284,0.002
2.96761317085475,2457997.45144793,12.252,0.002
2.97361333295703,2457997.45180794,12.262,0.002
2.97961333207786,2457997.45216794,12.236,0.002
2.98561333119869,2457997.45252794,12.253,0.002
2.9916135010626,2457997.45288795,12.255,0.002
2.99744683224708,2457997.45323795,12.228,0.002
3.00361349930427,2457997.45360795,12.226,0.002
3.0096134984251,2457997.45396795,12.221,0.002
3.01544700035265,2457997.45431796,12.217,0.002
3.02144699947348,2457997.45467796,12.235,0.002
3.02744699859431,2457997.45503796,12.212,0.002
3.03344716845731,2457997.45539797,12.195,0.002
3.03944716757815,2457997.45575797,12.193,0.002
3.04544716669898,2457997.45611797,12.204,0.002
3.05144733656198,2457997.45647798,12.222,0.002
3.05744733568281,2457997.45683798,12.204,0.002
3.06344733480364,2457997.45719798,12.211,0.002
3.06928066598903,2457997.45754798,12.215,0.002
3.07528083585203,2457997.45790799,12.166,0.002
3.08128083497286,2457997.45826799,12.181,0.002
3.08728083409369,2457997.45862799,12.178,0.002
3.0932810039576,2457997.458988,12.171,0.002
3.0996143311886,2457997.459368,12.163,0.002
3.10561433807015,2457997.459728,12.151,0.002
3.11161450017244,2457997.46008801,12.166,0.002
3.11761449929327,2457997.46044801,12.175,0.002
3.1236144984141,2457997.46080801,12.15,0.002
3.12961449753493,2457997.46116801,12.138,0.002
3.13544799946249,2457997.46151802,12.137,0.002
3.14144799858332,2457997.46187802,12.13,0.002
3.14744799770415,2457997.46223802,12.115,0.002
3.1532814996317,2457997.46258803,12.092,0.002
3.15928149875253,2457997.46294803,12.092,0.002
3.19378183130175,2457997.46501805,12.096,0.002
3.19978183818421,2457997.46537805,12.07,0.002
3.20578183730504,2457997.46573805,12.064,0.002
3.21178199940732,2457997.46609806,12.076,0.002
3.2176153305918,2457997.46644806,12.075,0.002
3.22361533747426,2457997.46680806,12.07,0.002
3.22961533659509,2457997.46716806,12.086,0.002
3.23561549869737,2457997.46752807,12.107,0.002
3.2416154978182,2457997.46788807,12.072,0.002
3.24761550469975,2457997.46824807,12.088,0.002
3.25344899886659,2457997.46859808,12.089,0.002
3.25928233781269,2457997.46894808,12.079,0.002
3.26528233693352,2457997.46930808,12.084,0.002
3.27128233605436,2457997.46966808,12.11,0.002
3.27728249815664,2457997.47002809,12.093,0.002
3.28328249727747,2457997.47038809,12.071,0.002
3.28928250415902,2457997.47074809,12.095,0.002
3.2952826662613,2457997.4711081,12.117,0.002
3.84412050464562,2457997.50403837,12.191,0.01
3.85412050317973,2457997.50463837,12.191,0.007
3.86428733263165,2457997.50524838,12.193,0.003
3.87428733116667,2457997.50584838,12.206,0.008
3.88462083631566,2457997.50646839,12.196,0.004
3.89462083484977,2457997.50706839,12.188,0.019
3.90478766430169,2457997.5076784,12.198,0.003
3.91478767059743,2457997.5082784,12.208,0.005
3.92495450004935,2457997.50888841,12.212,0.016
3.93512116651982,2457997.50949841,12.194,0.002
3.94512133579701,2457997.51009842,12.188,0.012
3.95528800226748,2457997.51070842,12.194,0.007
3.9654548317194,2457997.51131843,12.19,0.009
3.97562149818987,2457997.51192843,12.192,0.007
3.98562166746706,2457997.51252844,12.174,0.01
4.00595517115107,2457997.51374845,12.171,0.004
4.01612183762154,2457997.51435845,12.156,0.01
4.0261219991371,2457997.51495846,12.144,0.004
4.03628866560757,2457997.51556846,12.143,0.006
4.04645550282112,2457997.51617847,12.133,0.008
4.06662233080715,2457997.51738848,12.125,0.011
4.07695566521397,2457997.51800848,12.122,0.008
4.08695583449116,2457997.51860849,12.116,0.004
4.09695583302528,2457997.51920849,12.137,0.007
4.10712267023882,2457997.5198185,12.108,0.006
4.11712266877294,2457997.5204185,12.1,0.003
4.12745616616121,2457997.52103851,12.077,0.003
4.13745616469532,2457997.52163851,12.087,0.011
4.14762300190887,2457997.52224852,12.06,0.007
4.15778966837934,2457997.52285852,12.049,0.005
4.16795649783126,2457997.52346853,12.049,0.016
4.177956504127,2457997.52406853,12.022,0.005
4.18812333357892,2457997.52467854,12.028,0.002
4.19829000004938,2457997.52528854,12.012,0.006
4.20845683726202,2457997.52589855,12.016,0.014
4.21845683579704,2457997.52649855,12.011,0.003
4.22862366524896,2457997.52710856,12.01,0.014
4.23879033171943,2457997.52771856,11.994,0.011
4.24879050099662,2457997.52831857,11.997,0.007
4.25895716746709,2457997.52892857,12.015,0.006
4.2689571660012,2457997.52952857,11.996,0.013
4.27929067115019,2457997.53014858,11.996,0.011
4.28929066968522,2457997.53074858,11.988,0.013
4.29945749913713,2457997.53135859,12.004,0.009
4.30945749767125,2457997.53195859,12.018,0.011
4.31979100282024,2457997.5325786,12.021,0.014
4.32979100135526,2457997.5331786,12.023,0.008
4.33995783080718,2457997.53378861,12.025,0.009
4.34995783710292,2457997.53438861,12.034,0.003
4.36029133449028,2457997.53500862,12.035,0.019
4.37029133302531,2457997.53560862,12.046,0.007
4.38045817023794,2457997.53621863,12.061,0.009
4.39045816877297,2457997.53681863,12.063,0.007
4.40062499822488,2457997.53742864,12.07,0.017
