Phase,BJD,JD,V,V_error
0.8427993623,2457609.20283188,2457609.20203,13.368,0.0117046999
0.8467090474,2457609.20312185,2457609.20232,13.356,0.0117046999
0.8512928918,2457609.20346182,2457609.20266,13.344,0.0117046999
0.8553375532,2457609.2037618,2457609.20296,13.345,0.0117046999
0.8596517339,2457609.20408177,2457609.20328,13.349,0.0107703296
0.8636962571,2457609.20438174,2457609.20358,13.345,0.0117046999
0.8678757441,2457609.20469172,2457609.20389,13.371,0.0117046999
0.8721899248,2457609.20501169,2457609.20421,13.348,0.0117046999
0.8766389374,2457609.20534166,2457609.20454,13.339,0.0117046999
0.8805486287,2457609.20563163,2457609.20483,13.349,0.0117046999
0.8851324732,2457609.2059716,2457609.20517,13.371,0.0117046999
0.8890422964,2457609.20626158,2457609.20546,13.356,0.0117046999
0.8934913089,2457609.20659155,2457609.20579,13.362,0.0126491106
0.8975358322,2457609.20689152,2457609.20609,13.361,0.0117046999
0.9019848448,2457609.20722149,2457609.20642,13.355,0.0117046999
0.9060294998,2457609.20752147,2457609.20672,13.353,0.0180277564
0.9103436868,2457609.20784144,2457609.20704,13.366,0.0117046999
0.9143882037,2457609.20814141,2457609.20734,13.363,0.0117046999
0.9189720482,2457609.20848138,2457609.20768,13.378,0.0117046999
0.9228818777,2457609.20877136,2457609.20797,13.373,0.0107703296
0.9273308903,2457609.20910133,2457609.2083,13.383,0.0117046999
0.9315102391,2457609.2094113,2457609.20861,13.357,0.0117046999
0.9358244261,2457609.20973127,2457609.20893,13.369,0.0107703296
0.9400037749,2457609.21004124,2457609.20924,13.337,0.0117046999
0.9441832619,2457609.21035122,2457609.20955,13.353,0.0117046999
0.948362617,2457609.21066119,2457609.20986,13.366,0.0117046999
0.9526767977,2457609.21098116,2457609.21018,13.409,0.0117046999
0.9567214527,2457609.21128114,2457609.21048,13.35,0.0117046999
0.9613052972,2457609.21162111,2457609.21082,13.392,0.0126491106
0.9652149885,2457609.21191108,2457609.21111,13.361,0.0107703296
0.9696640011,2457609.21224105,2457609.21144,13.393,0.0107703296
0.9738433562,2457609.21255102,2457609.21175,13.391,0.0107703296
0.9781576751,2457609.212871,2457609.21207,13.371,0.0117046999
0.982202192,2457609.21317097,2457609.21237,13.339,0.0117046999
0.986516379,2457609.21349094,2457609.21269,13.379,0.0117046999
0.9905608959,2457609.21379091,2457609.21299,13.353,0.0107703296
0.9951447404,2457609.21413088,2457609.21333,13.358,0.0107703296
0.9990545699,2457609.21442086,2457609.21362,13.345,0.0117046999
1.0036384143,2457609.21476083,2457609.21396,13.355,0.0117046999
1.0078177632,2457609.2150708,2457609.21427,13.342,0.0117046999
1.0119971183,2457609.21538077,2457609.21458,13.357,0.0117046999
1.0161766052,2457609.21569075,2457609.21489,13.375,0.0107703296
1.020355954,2457609.21600072,2457609.2152,13.347,0.0117046999
1.0244004773,2457609.21630069,2457609.2155,13.359,0.0117046999
1.0288494898,2457609.21663066,2457609.21583,13.351,0.0117046999
1.0328941449,2457609.21693064,2457609.21613,13.338,0.0117046999
1.0376126894,2457609.2172806,2457609.21648,13.328,0.0117046999
1.0416573445,2457609.21758058,2457609.21678,13.347,0.0117046999
1.0458366933,2457609.21789055,2457609.21709,13.358,0.0117046999
1.0500160484,2457609.21820052,2457609.2174,13.37,0.0107703296
1.0541955354,2457609.2185105,2457609.21771,13.334,0.0126491106
1.0585097161,2457609.21883047,2457609.21803,13.352,0.0117046999
1.0626890712,2457609.21914044,2457609.21834,13.353,0.0126491106
1.0667335881,2457609.21944041,2457609.21864,13.359,0.0117046999
