Phase,BJD,JD,V,V_error
0.83189586,2457611.2786992,2457611.27808,15.059,0.0108166538
0.8358055514,2457611.27898917,2457611.27837,15.032,0.0108166538
0.8278513368,2457611.27839923,2457611.27778,15,0.01
0.8402545639,2457611.27931914,2457611.2787,15.057,0.01
0.8441643871,2457611.27960912,2457611.27899,15.063,0.01
0.8482089104,2457611.27990909,2457611.27929,15.048,0.0108166538
0.8522535654,2457611.28020907,2457611.27959,15.032,0.01
0.8564329143,2457611.28051904,2457611.2799,15.028,0.0108166538
0.8604774375,2457611.28081901,2457611.2802,15.037,0.0108166538
0.8643872607,2457611.28110899,2457611.28049,15.042,0.0108166538
0.8689711051,2457611.28144896,2457611.28083,15.026,0.01
0.8730156283,2457611.28174893,2457611.28113,15.032,0.01
0.8771949835,2457611.2820589,2457611.28144,15.048,0.0108166538
0.8812395004,2457611.28235887,2457611.28174,15.052,0.01
0.8851493299,2457611.28264885,2457611.28203,15.003,0.01
0.8891938468,2457611.28294882,2457611.28233,15.064,0.0108166538
0.8933732019,2457611.28325879,2457611.28264,15.049,0.0108166538
0.8975526889,2457611.28356877,2457611.28295,15.048,0.0108166538
0.9015972058,2457611.28386874,2457611.28325,15.038,0.0108166538
0.9057765609,2457611.28417871,2457611.28356,15.03,0.0108166538
0.9099560479,2457611.28448869,2457611.28387,15.041,0.0108166538
0.9141353967,2457611.28479866,2457611.28418,15.035,0.0108166538
0.9181799199,2457611.28509863,2457611.28448,15.05,0.0108166538
0.9220897431,2457611.28538861,2457611.28477,15.03,0.0108166538
0.9262690982,2457611.28569858,2457611.28508,15.037,0.0108166538
0.9303136151,2457611.28599855,2457611.28538,15.042,0.0108166538
0.9344931021,2457611.28630853,2457611.28569,15.036,0.0108166538
0.9385376253,2457611.2866085,2457611.28599,15.037,0.0108166538
0.9427169804,2457611.28691847,2457611.2863,15.06,0.0108166538
0.9467614973,2457611.28721844,2457611.2866,15.068,0.0108166538
0.9510758162,2457611.28753842,2457611.28692,15.052,0.0108166538
0.9552551713,2457611.28784839,2457611.28723,15.031,0.0108166538
0.9592996882,2457611.28814836,2457611.28753,15.061,0.0130384048
0.9632095177,2457611.28843834,2457611.28782,15.061,0.0152643375
0.9672540346,2457611.28873831,2457611.28812,15.047,0.0152643375
0.9714333897,2457611.28904828,2457611.28843,15.037,0.0158113883
0.9754780448,2457611.28934826,2457611.28873,15.014,0.015
0.9797922255,2457611.28966823,2457611.28905,15.058,0.0144222051
0.9838367487,2457611.2899682,2457611.28935,15.058,0.0130384048
0.987881272,2457611.29026817,2457611.28965,15.047,0.0136014705
0.9921954527,2457611.29058814,2457611.28997,15.013,0.0136014705
0.9962401077,2457611.29088812,2457611.29027,15.013,0.0136014705
1.0045988117,2457611.29150806,2457611.29089,15.067,0.0130384048
1.0086434667,2457611.29180804,2457611.29119,15.085,0.0136014705
1.0125531581,2457611.29209801,2457611.29148,15.05,0.0122065556
1.0165976813,2457611.29239798,2457611.29178,15.066,0.0122065556
1.0207771682,2457611.29270796,2457611.29209,15.047,0.0108166538
1.0248216852,2457611.29300793,2457611.29239,15.062,0.0108166538
1.0288662084,2457611.2933079,2457611.29269,15.038,0.0108166538
1.033315221,2457611.29363787,2457611.29302,15.047,0.0108166538
1.0373598761,2457611.29393785,2457611.29332,15.028,0.0108166538
1.0415392312,2457611.29424782,2457611.29363,15.088,0.0108166538
1.0455837544,2457611.29454779,2457611.29393,15.061,0.0108166538
1.0494935776,2457611.29483777,2457611.29422,15.063,0.0108166538
1.0535381008,2457611.29513774,2457611.29452,15.051,0.0108166538
1.0575826177,2457611.29543771,2457611.29482,15.066,0.0108166538
1.0617621047,2457611.29574769,2457611.29513,15.051,0.0108166538
1.0658066279,2457611.29604766,2457611.29543,15.035,0.0108166538
1.0698511511,2457611.29634763,2457611.29573,15.03,0.0108166538
1.0743001637,2457611.2966776,2457611.29606,15.037,0.0108166538
1.0784796507,2457611.29698758,2457611.29637,15.041,0.0108166538
1.0825241676,2457611.29728755,2457611.29667,15.052,0.0108166538
1.0865686908,2457611.29758752,2457611.29697,15.033,0.0108166538
1.090478514,2457611.2978775,2457611.29726,15.06,0.0108166538
1.0945230372,2457611.29817747,2457611.29756,15.091,0.0116619038
1.0985675605,2457611.29847744,2457611.29786,15.077,0.0108166538
1.1028818793,2457611.29879742,2457611.29818,15.07,0.0108166538
1.1070612281,2457611.29910739,2457611.29849,15.063,0.0108166538
1.1111057513,2457611.29940736,2457611.29879,15.107,0.0108166538
1.1152851002,2457611.29971733,2457611.2991,15.077,0.0108166538
1.119599419,2457611.30003731,2457611.29942,15.064,0.0116619038
1.1236439422,2457611.30033728,2457611.29972,15.064,0.0108166538
1.1315982886,2457611.30092723,2457611.30031,15.104,0.0108166538
